data_rho1;data_rho2;data_rho3;data_rho4;data_rho5;data_rho6;data_rho7;data_rho8;data_rho9;data_rho10;data_rho11;data_rho12;data_rho13;data_rho14;data_rho15;data_rho16;data_rho17;data_rho18;data_rho19;data_rho20;data_rho21;data_rho22;data_rho23;data_rho24;data_rho25;data_rho26;data_rho27;data_rho28;data_rho29;data_rho30;data_rho31;data_rho32;data_rho33;data_rho34;data_rho35;data_rho36;data_rho37;data_rho38;data_rho39;data_rho40;data_rho41;data_rho42;data_rho43;data_rho44;data_rho45;data_rho46;data_rho47;data_rho48;data_rho49;data_rho50;data_rho51;data_rho52;data_rho53;data_rho54;data_rho55;data_rho56;data_rho57;data_rho58;data_rho59;data_rho60;data_rho61;data_rho62;data_rho63;data_rho64;data_rho65;data_rho66;data_rho67;data_rho68;data_rho69;data_rho70;data_rho71;data_rho72;data_rho73;data_rho74;data_rho75;data_rho76;data_rho77;data_rho78;data_rho79;data_rho80;data_rho81;data_rho82;data_rho83;data_rho84;data_rho85;data_rho86;data_rho87;data_rho88;data_rho89;data_rho90;data_rho91;data_rho92;data_rho93;data_rho94;data_rho95;data_rho96;data_rho97;data_rho98;data_rho99;data_rho100;data_rho101;data_rho102;data_rho103;data_rho104;data_rho105;data_rho106;data_rho107;data_rho108;data_rho109;data_rho110;data_rho111;data_rho112;data_rho113;data_rho114;data_rho115;data_rho116;data_rho117;data_rho118;data_rho119;data_rho120;data_rho121;data_rho122;data_rho123;data_rho124;data_rho125;data_rho126;data_rho127;data_rho128;data_rho129;data_rho130;data_rho131;data_rho132;data_rho133;data_rho134;data_rho135;data_rho136;data_rho137;data_rho138;data_rho139;data_rho140;data_rho141;data_rho142;data_rho143;data_rho144;data_rho145;data_rho146;data_rho147;data_rho148;data_rho149;data_rho150;data_rho151;data_rho152;data_rho153;data_rho154;data_rho155;data_rho156;data_rho157;data_rho158;data_rho159;data_rho160;data_rho161;data_rho162;data_rho163;data_rho164;data_rho165;data_rho166;data_rho167;data_rho168;data_rho169;data_rho170;data_rho171;data_rho172;data_rho173;data_rho174;data_rho175;time;volt;current;Volume;Aspect_Ratio;Integr_Surface_Area;centred_z;conc;content;ST;;;;
0.948363533;0.949243981;0.948016134;0.948012351;0.945868882;0.944933353;0.941797996;0.939840896;0.935591366;0.932472316;0.928388811;0.924539278;0.919472443;0.915713869;0.910763721;0.904655073;0.899813569;0.893809608;0.886652569;0.880898266;0.87593216;0.869953763;0.865114296;0.859028558;0.854035533;0.847744524;0.842129117;0.837297102;0.832705453;0.827575303;0.822699702;0.81904981;0.81656831;0.811619473;0.807846983;0.805849861;0.803646933;0.800779313;0.800300051;0.798517392;0.797781877;0.794737609;0.796074074;0.795102746;0.795160694;0.796248734;0.795028448;0.798191625;0.799046769;0.800951351;0.801546719;0.804549334;0.806233745;0.80901404;0.812926926;0.816466171;0.820654812;0.824464012;0.829506597;0.834341666;0.839592006;0.844349802;0.847330316;0.854612563;0.859542375;0.865071354;0.870039861;0.876146873;0.881047657;0.887129038;0.89203173;0.898159335;0.905433527;0.909358019;0.914433092;0.920825352;0.923510877;0.929053366;0.931178941;0.934443519;0.938837325;0.940936312;0.943556301;0.945289805;0.944217925;0.94458403;0.945747898;0.945008149;0.94549177;0.943860976;0.940631719;0.940891202;0.936148864;0.932564891;0.93014046;0.927293678;0.923131967;0.917700302;0.91361259;0.908297188;0.904280422;0.899062453;0.892672675;0.887545125;0.883634895;0.878534318;0.872243426;0.867130324;0.860802098;0.855604694;0.851510788;0.846149435;0.839484863;0.836242307;0.83165532;0.827993639;0.823121466;0.819128939;0.816119964;0.811592193;0.80820253;0.807674472;0.803694675;0.800330627;0.798541764;0.796391687;0.796683486;0.795625686;0.792253053;0.793268611;0.791967557;0.791696516;0.792448043;0.794232578;0.793700952;0.795211211;0.795734695;0.798330381;0.800881509;0.803326585;0.805724151;0.809236914;0.810286695;0.816120223;0.819034838;0.822488235;0.825986805;0.829940507;0.836370098;0.839189487;0.845144186;0.849931213;0.855797412;0.860406895;0.866133946;0.870640734;0.876305637;0.883159388;0.888842693;0.89334694;0.899093072;0.903660433;0.909514656;0.914177407;0.918902168;0.922354543;0.927292566;0.931385569;0.934125674;0.939003271;0.940234395;0.942152783;0.94526868;0.946247016;0.948445879;0.061990976;8;0.262;2.991414053;0.83831283;7.494994928;-1.773333333;;0.1;72;;;;
0.948357417;0.949207255;0.947946709;0.947910759;0.945735863;0.944768384;0.941601513;0.939613183;0.935329198;0.932178053;0.928767384;0.924879398;0.91977831;0.915981664;0.910997207;0.9048576;0.899981251;0.893945491;0.88913498;0.883147865;0.875977638;0.871128212;0.865103484;0.858989591;0.85396826;0.848951305;0.842690057;0.838145709;0.834226228;0.828009126;0.824263012;0.819410983;0.816895276;0.811913228;0.811645368;0.808122733;0.803849908;0.803326275;0.8004466;0.798635077;0.797874339;0.795870863;0.796112458;0.795114978;0.795145402;0.796208924;0.795645907;0.79809839;0.798925906;0.800801714;0.803752874;0.804342959;0.807189792;0.81116739;0.813477863;0.817693434;0.820986067;0.826163645;0.829069148;0.834516897;0.839071532;0.844056036;0.849796642;0.853946681;0.858895169;0.865178759;0.87237699;0.876097048;0.883336507;0.887018356;0.894285674;0.898814078;0.905348361;0.909122075;0.914162747;0.920519485;0.923167968;0.927106826;0.931469633;0.934702221;0.939061673;0.94039143;0.940983636;0.943986089;0.944316403;0.944439823;0.945781959;0.945011207;0.944256754;0.943802748;0.940007139;0.937405061;0.9359967;0.932380334;0.929925879;0.925168777;0.92091773;0.915489529;0.911408549;0.906398938;0.902073942;0.896848153;0.890449279;0.885307088;0.881387201;0.873887414;0.869961151;0.864824348;0.858471148;0.853245438;0.848064351;0.843203319;0.839399673;0.833284233;0.828259954;0.824525337;0.820490992;0.81683488;0.812903764;0.810145331;0.805131282;0.804395735;0.801420828;0.799540222;0.795288602;0.795539646;0.793427056;0.79236061;0.792326816;0.789974574;0.788654191;0.788356955;0.789080412;0.790830274;0.790842404;0.794087219;0.795595089;0.794745712;0.7983663;0.799618593;0.802587645;0.805380126;0.809969548;0.812084746;0.815344029;0.819800085;0.824682489;0.828605337;0.832934957;0.83859879;0.842849957;0.847616968;0.853459009;0.858035921;0.863734814;0.868205501;0.873830217;0.880645817;0.886281484;0.890735351;0.896424488;0.901919857;0.906723356;0.911316053;0.917243324;0.921949421;0.927558472;0.930157453;0.933593935;0.936290895;0.940373778;0.942260634;0.945345422;0.946292946;0.94845965;1.059069872;8;0.262;2.983606322;0.83831283;7.570584419;-1.793333333;;0.100261688;72;;;;
0.946707058;0.944296901;0.946447739;0.94445806;0.944378318;0.941505644;0.93912542;0.938037963;0.934234094;0.931142381;0.925621068;0.922770405;0.917767235;0.911717304;0.906746434;0.903147173;0.895957276;0.892414242;0.885308596;0.879406655;0.874684017;0.86874986;0.863952694;0.857907189;0.852952508;0.846698173;0.841489234;0.836539525;0.833054204;0.82718673;0.823610632;0.818526357;0.816088148;0.811201714;0.808984455;0.805086907;0.803350622;0.802831326;0.80008715;0.798343934;0.797649451;0.7946438;0.79601883;0.79508661;0.795182108;0.796310361;0.795127636;0.795715095;0.799225901;0.801043159;0.800761957;0.804852054;0.806580883;0.809405053;0.813366374;0.814864961;0.821193878;0.824356266;0.828121173;0.832872731;0.836329627;0.842984155;0.847705991;0.852467791;0.857629341;0.863882854;0.8688932;0.875037319;0.879981552;0.886103223;0.891046109;0.895492781;0.90221241;0.907038271;0.911117443;0.915003931;0.920200576;0.924172661;0.928993182;0.930874857;0.933537356;0.937555719;0.938893549;0.940047382;0.942400052;0.942607197;0.940694627;0.943336979;0.940529733;0.938936098;0.938553654;0.936020792;0.931806217;0.931131216;0.927986138;0.924046017;0.918554554;0.91443634;0.909447155;0.90550492;0.90015219;0.895025363;0.891151456;0.886080642;0.879832715;0.874795743;0.868567805;0.86350608;0.859584632;0.854429632;0.848019377;0.845053479;0.838424709;0.835218182;0.830664845;0.827133735;0.822192431;0.818229708;0.815249646;0.810746783;0.807759595;0.804566614;0.804333994;0.802275838;0.798275519;0.795684016;0.796498501;0.795479324;0.792147852;0.793200772;0.791939756;0.791706009;0.792496689;0.794319714;0.793826192;0.794363968;0.795939029;0.798577292;0.798892219;0.803658848;0.806099445;0.807775803;0.810754872;0.812953051;0.817447654;0.820951533;0.825443745;0.829848136;0.834987188;0.840062033;0.843854163;0.848686984;0.854596556;0.859244515;0.865013482;0.86955794;0.875263539;0.879769425;0.88547655;0.892419593;0.895759344;0.902728097;0.906197035;0.91218132;0.916623755;0.921641851;0.925141812;0.929315213;0.933520075;0.935595889;0.93834389;0.940316803;0.943484989;0.944514505;0.946761063;2.059081078;8;0.262;2.968221361;0.839788732;7.485311329;-1.773333333;;0.100781367;72;;;;
0.941741997;0.942780714;0.94366429;0.941836659;0.941423667;0.939013215;0.938493473;0.934143829;0.932483454;0.928802229;0.925071764;0.920237001;0.915398458;0.91184862;0.907103621;0.901193132;0.896538411;0.890715765;0.88610769;0.880315074;0.87333872;0.867516376;0.862822254;0.857166039;0.852029436;0.848253197;0.84076813;0.836693415;0.831284889;0.82915016;0.824399134;0.820778273;0.814871637;0.813672749;0.810019672;0.807490529;0.805053477;0.80225446;0.799548018;0.797909988;0.797315146;0.797755896;0.79588557;0.795050522;0.79524645;0.796471186;0.795389263;0.798694141;0.799689514;0.801739678;0.801964186;0.805635309;0.807472346;0.810414387;0.814495145;0.816117102;0.821863299;0.824727502;0.828583775;0.833433211;0.838299021;0.843459131;0.849232379;0.853416309;0.858679834;0.865039247;0.868719114;0.874053868;0.879887459;0.885334688;0.890385853;0.896662162;0.901775563;0.907217236;0.910906971;0.915253532;0.92022559;0.923812365;0.927133434;0.931273351;0.934065956;0.936531088;0.936609658;0.93789223;0.940369933;0.94070007;0.941028722;0.941668142;0.938976515;0.937495505;0.937224743;0.934800963;0.931016977;0.928599869;0.924727737;0.922193358;0.918294822;0.913113127;0.909260933;0.904172143;0.900371349;0.895357596;0.889164201;0.884222796;0.880494843;0.873185887;0.869444583;0.864489492;0.858315938;0.853265989;0.848131401;0.843463313;0.839939654;0.833907865;0.829056144;0.825484322;0.82171874;0.817846883;0.814332578;0.811722557;0.807078405;0.804561843;0.803439156;0.799770082;0.797600556;0.796076322;0.79603122;0.795115638;0.791882728;0.79303598;0.79187234;0.791737447;0.792626701;0.791202895;0.794155604;0.794792053;0.796471925;0.796589901;0.799591962;0.801023014;0.80353563;0.807166689;0.808500674;0.814283932;0.817758292;0.821393441;0.824503533;0.827743806;0.833323259;0.838085659;0.842408451;0.847348093;0.851003404;0.858116473;0.862135937;0.868644723;0.874454542;0.879070217;0.884885512;0.889513015;0.895388349;0.90007746;0.905464231;0.90900936;0.914384039;0.919240402;0.922426644;0.926724496;0.928706163;0.933502247;0.936148471;0.938247324;0.941538323;0.942688902;0.941720716;3.059046984;8;0.262;2.957406952;0.841269841;7.731988706;-1.81;;0.101149896;72;;;;
0.940048214;0.937659639;0.939824688;0.939309405;0.937758007;0.936678729;0.933724999;0.931770152;0.928418903;0.924718754;0.922322883;0.917873706;0.913735117;0.908373768;0.903257373;0.899321696;0.894598885;0.888702888;0.884019796;0.878155632;0.873461513;0.867557971;0.862783178;0.856762778;0.85183232;0.845601922;0.842799974;0.838058981;0.833139818;0.828446421;0.823626098;0.820027236;0.81759771;0.812795023;0.810628569;0.806785343;0.804888019;0.804445586;0.801648981;0.799921661;0.799243004;0.797966573;0.7976531;0.796743338;0.79686511;0.798018757;0.796867052;0.800102628;0.801031313;0.803014794;0.802644563;0.806780096;0.808553005;0.811430252;0.814947847;0.817003759;0.820096039;0.825371785;0.829147676;0.833918953;0.83884107;0.843926387;0.847111128;0.853589293;0.858773955;0.862698593;0.867734644;0.873905673;0.878872717;0.885018866;0.889983677;0.893761888;0.898762881;0.905032592;0.908168301;0.914040516;0.916706672;0.920655374;0.925203626;0.927291055;0.929687301;0.931940528;0.933543497;0.936558523;0.935603026;0.935861881;0.93732813;0.936669253;0.937223257;0.935652272;0.931936133;0.929402907;0.928053023;0.924527802;0.922065222;0.91811656;0.914202884;0.911172722;0.905127064;0.902196317;0.896169078;0.891116542;0.887310009;0.88229916;0.876106623;0.871118987;0.867301522;0.862273525;0.857032091;0.853252894;0.846868559;0.843129635;0.83732304;0.833422362;0.829601684;0.82485708;0.82242322;0.817347154;0.814245844;0.810830702;0.808755067;0.805248361;0.802355148;0.800557024;0.799821159;0.796719981;0.797127058;0.794780062;0.79375447;0.794828555;0.793588253;0.793379988;0.79419679;0.792703967;0.795587361;0.796157209;0.797770646;0.7978715;0.800761324;0.802128897;0.804577756;0.808143901;0.809327601;0.815131138;0.818456167;0.821979322;0.825152374;0.828324853;0.833673796;0.838518869;0.841398886;0.847465943;0.851166438;0.855722278;0.86151137;0.866076878;0.871796458;0.876312652;0.882022578;0.886547289;0.892305042;0.896875501;0.901035032;0.90737358;0.910777967;0.914770766;0.918907697;0.922188877;0.927082333;0.929038754;0.931465184;0.933501409;0.936723653;0.937798753;0.937758781;4.059043407;8;0.263;2.936178745;0.84751773;7.462930598;-1.805;;0.101881197;72;;;;
0.940049352;0.93766361;0.939830666;0.937762052;0.937768181;0.935216865;0.933739072;0.931785663;0.92752662;0.924387284;0.921011288;0.917349974;0.912463264;0.908404164;0.903291373;0.898097497;0.893384583;0.887499426;0.882826043;0.876966369;0.872275851;0.866378228;0.860627071;0.855587384;0.850057678;0.844422335;0.839230592;0.835070786;0.829518967;0.826499346;0.821716534;0.818156271;0.814691144;0.810892319;0.80719785;0.804628683;0.803146042;0.799299897;0.799480403;0.798225932;0.797481043;0.794579851;0.793273484;0.795075732;0.795199206;0.796352385;0.795197877;0.79506604;0.797402963;0.797920416;0.800942621;0.805063546;0.806820647;0.809677655;0.813641978;0.815203457;0.818832669;0.824123165;0.827915343;0.832696456;0.836861914;0.841900153;0.84591923;0.851891618;0.85681589;0.863222854;0.866555502;0.872730263;0.877693409;0.883836345;0.88879555;0.894976135;0.899994174;0.903822762;0.908914319;0.912808815;0.918001689;0.921975156;0.925182898;0.928589438;0.931317163;0.932519416;0.935342805;0.936549325;0.938949497;0.939199158;0.937324542;0.936668149;0.937225011;0.935656622;0.935294948;0.932778602;0.928331955;0.925893175;0.922079271;0.919426968;0.915492072;0.91119572;0.9063752;0.902224356;0.897392391;0.892327037;0.888509011;0.883492808;0.877292849;0.872298848;0.868482731;0.863449905;0.857202598;0.85207372;0.848051268;0.842750691;0.838514295;0.832952192;0.828413684;0.824893731;0.820460516;0.818457952;0.815334851;0.811034871;0.807452774;0.804917075;0.803305364;0.799996986;0.798091431;0.796171704;0.796370784;0.79538056;0.792074457;0.793155623;0.791919547;0.791713779;0.792530692;0.794380522;0.793914931;0.794478761;0.796083076;0.798747874;0.799049223;0.803887975;0.802830768;0.80637698;0.810576498;0.813312454;0.816691662;0.820739859;0.823229184;0.828355342;0.832471406;0.836455736;0.841416207;0.846282374;0.849865029;0.855961358;0.860334129;0.864963393;0.870614915;0.877516746;0.880834115;0.885347571;0.891099402;0.895657683;0.90149347;0.906130742;0.909515489;0.914749544;0.917907411;0.922346439;0.925734224;0.930496906;0.931455188;0.933494378;0.936719201;0.937796074;0.936747643;5.059034348;8;0.264;2.933152344;0.845744681;7.355725754;-1.793333333;;0.101986317;72;;;;
0.940050821;0.941006862;0.939841964;0.939890793;0.937789483;0.936885874;0.933770726;0.931822144;0.929648858;0.9259354;0.922432811;0.919835371;0.914916376;0.911295622;0.906475175;0.900490006;0.895760928;0.889863869;0.88518418;0.879320806;0.874631789;0.868731639;0.863966686;0.858990489;0.854301248;0.849188469;0.844024573;0.839899105;0.834392908;0.830264384;0.826358836;0.821792012;0.819338483;0.814424819;0.814220951;0.810870839;0.806568759;0.806116746;0.803314079;0.801582131;0.800901355;0.801261012;0.799313536;0.798407701;0.798536108;0.799697756;0.79855713;0.801806294;0.802749257;0.80475127;0.804495378;0.808559376;0.810359515;0.813263574;0.816156795;0.818904114;0.821625973;0.826549491;0.830674433;0.83508784;0.840845983;0.842843879;0.848429065;0.852392498;0.857587325;0.86387395;0.868919921;0.875099778;0.880077429;0.883854344;0.888818574;0.89500428;0.900027178;0.903861139;0.908958231;0.912858049;0.915512452;0.919447847;0.924726901;0.926057027;0.929637175;0.931896679;0.932245739;0.933159506;0.935580454;0.935846189;0.937287474;0.936668149;0.933894464;0.932324587;0.931957106;0.92943035;0.928087411;0.924526739;0.919172367;0.917389026;0.912789928;0.910209524;0.903773245;0.901192019;0.895647537;0.892289007;0.886046069;0.881052247;0.877270177;0.872281201;0.866100313;0.861081338;0.857198614;0.852074585;0.845694798;0.842760239;0.837452952;0.83297057;0.830396688;0.826718605;0.820389872;0.818493906;0.815276248;0.812579582;0.807546631;0.806959259;0.804052213;0.802241019;0.798062432;0.798386913;0.796350665;0.795365003;0.795412573;0.793148511;0.795251025;0.795048513;0.792536329;0.794390101;0.793928985;0.797869785;0.796105767;0.798774745;0.802533111;0.803924068;0.806402261;0.809963031;0.811132248;0.814616551;0.817165942;0.821346318;0.825230569;0.830441536;0.834836912;0.837594338;0.8437145;0.847976465;0.85222074;0.856902615;0.862702921;0.867277007;0.873006141;0.877537613;0.883264097;0.887802862;0.893236141;0.898168471;0.901540696;0.908121483;0.912147386;0.914702323;0.920342391;0.922424537;0.927505027;0.930578561;0.931433374;0.933477609;0.936707408;0.937789211;0.940079349;6.059046984;8;0.264;2.939233566;0.84929078;7.685256903;-1.78;;0.101775309;72;;;;
0.941756488;0.93949554;0.94120944;0.938609551;0.939181438;0.935825941;0.936242529;0.932848981;0.930321593;0.926979529;0.922101924;0.918553596;0.913774206;0.910286569;0.905596264;0.89973569;0.895132006;0.889355494;0.884789759;0.879043513;0.872104131;0.867332898;0.861664773;0.858116277;0.850936703;0.846539854;0.840580886;0.835981397;0.832653908;0.828238971;0.824803272;0.819866403;0.816282628;0.812840982;0.810776515;0.807042236;0.804077327;0.803752541;0.801068694;0.799453536;0.798885403;0.796006544;0.79751185;0.796707305;0.796936614;0.798198667;0.797152157;0.797135984;0.798216151;0.800228835;0.803376637;0.8050844;0.808315984;0.809857986;0.813076016;0.818361805;0.821185847;0.825192076;0.829553158;0.833079157;0.837896211;0.842396369;0.847936244;0.852365888;0.857460206;0.863855818;0.869012134;0.872940942;0.87848615;0.884287139;0.889369718;0.895677146;0.898387659;0.904782642;0.91001139;0.914043322;0.918563778;0.92091751;0.925805122;0.929323503;0.930517285;0.93288611;0.936415705;0.937737609;0.936902513;0.937282421;0.938871156;0.938336957;0.935682094;0.934233383;0.933990056;0.931590372;0.9303779;0.926947064;0.922738355;0.920083627;0.916454697;0.911347107;0.907563721;0.902534842;0.898791212;0.893833423;0.887696364;0.882805468;0.879120985;0.874238268;0.86815749;0.863242788;0.857109338;0.852095222;0.848182489;0.842993041;0.838867764;0.835271811;0.830423704;0.8268565;0.82318876;0.819364513;0.815730626;0.813131755;0.808756584;0.806298673;0.804813221;0.801637458;0.799093422;0.798092336;0.797567517;0.796676852;0.793471994;0.794651848;0.793520228;0.793415727;0.794341478;0.792952447;0.795946561;0.796624866;0.798349712;0.800182767;0.80156901;0.803054791;0.805626709;0.80871896;0.810549446;0.813600281;0.818734049;0.82235679;0.826960689;0.830149694;0.834361605;0.837222922;0.843504617;0.848412408;0.852169451;0.8569575;0.86286884;0.867553454;0.87339516;0.87804298;0.883888943;0.8885472;0.893376341;0.898700011;0.902672161;0.907449863;0.913198359;0.91582713;0.922051038;0.924294721;0.928461934;0.931644822;0.932608769;0.934763063;0.938104765;0.939301995;0.939530119;7.059016943;8;0.264;2.944729302;0.846017699;7.458474506;-1.795;;0.101585366;72;;;;
0.936731842;0.934838036;0.936609284;0.936695822;0.934627256;0.933752994;0.930662815;0.92873422;0.92626876;0.922666682;0.919376875;0.916767472;0.911940301;0.908403939;0.903663189;0.897754205;0.893093909;0.889653839;0.884271681;0.879205547;0.872200624;0.868709362;0.863926791;0.858018668;0.853141295;0.849342133;0.843877068;0.839130661;0.834679891;0.830209644;0.826737905;0.8217643;0.818823718;0.817250028;0.813807737;0.811206576;0.808709107;0.805845656;0.803084922;0.801398153;0.800760681;0.801161304;0.799257742;0.798392231;0.798562769;0.799768153;0.802015093;0.80196027;0.802946613;0.804991196;0.806545724;0.808890046;0.810738781;0.813691077;0.817789798;0.819434067;0.822211463;0.82618223;0.83137823;0.83481199;0.838217806;0.842891707;0.848135148;0.853057041;0.858075351;0.863865914;0.868955915;0.872819104;0.877836946;0.884032506;0.889046484;0.892872818;0.89792252;0.901962468;0.906909813;0.910833372;0.913932899;0.918787404;0.921169518;0.924673119;0.926720474;0.928185769;0.931682499;0.932963423;0.932080323;0.932406467;0.933935325;0.933334821;0.930607494;0.929079845;0.928750583;0.926257938;0.924944485;0.9214077;0.91838264;0.915944649;0.910691787;0.907021265;0.903181242;0.899218507;0.894437987;0.889458844;0.885720691;0.880780775;0.874651602;0.869724894;0.865971138;0.860997195;0.854802334;0.84972452;0.845747961;0.840489683;0.836483402;0.833152489;0.828661238;0.825189508;0.820300461;0.818508087;0.814696175;0.811529459;0.808047653;0.806533983;0.803674277;0.801911141;0.798382629;0.798146905;0.796153837;0.795211004;0.795301233;0.793078113;0.791890149;0.795060629;0.792592124;0.794485754;0.794068097;0.794677136;0.796330375;0.799043965;0.800449062;0.803400569;0.806810174;0.806877799;0.811641621;0.813929475;0.817371337;0.820377848;0.824040434;0.828087845;0.831695132;0.837437476;0.841293077;0.846208694;0.850218643;0.854568548;0.860408432;0.865023275;0.870791759;0.875356479;0.881114783;0.884267051;0.88904553;0.893636609;0.899505035;0.903920208;0.907581064;0.912297815;0.915717412;0.918320515;0.923769468;0.92692162;0.927847014;0.929956563;0.933247094;0.934386218;0.935806406;8.059004545;8;0.264;2.919372766;0.852313167;7.690863532;-1.786666667;;0.102467697;72;;;;
0.941698423;0.942581639;0.941347172;0.941328482;0.941625023;0.938192352;0.938374395;0.934546571;0.932054336;0.928223199;0.923443983;0.919362771;0.915454878;0.910689706;0.905802632;0.902174486;0.894955757;0.891381542;0.884245117;0.880624467;0.873557997;0.867593649;0.862758091;0.856677757;0.851685929;0.847770745;0.841972695;0.837152718;0.83275518;0.827454043;0.822588433;0.818949195;0.816476756;0.812103304;0.80986785;0.805958573;0.803590098;0.803103933;0.800259016;0.798484439;0.797755987;0.794719559;0.796063787;0.79509932;0.795164976;0.796259881;0.795047365;0.798218392;0.799080612;0.800993294;0.801420272;0.804607121;0.806299307;0.809088632;0.813009845;0.816385023;0.820649783;0.82457646;0.829579238;0.832062586;0.837597174;0.841933207;0.846974536;0.851360464;0.85649151;0.862712549;0.867688918;0.87379671;0.878702119;0.884782706;0.889682467;0.89414042;0.900754729;0.90452409;0.90955464;0.913498084;0.918519141;0.921830074;0.925050116;0.92898824;0.931883608;0.934053586;0.935144596;0.93851364;0.9374831;0.937669942;0.939066765;0.938340595;0.938829441;0.937195459;0.933418812;0.93207715;0.929420204;0.925795384;0.92332483;0.919099274;0.915098966;0.91228446;0.907233438;0.903175306;0.896750326;0.894081499;0.887750792;0.882670769;0.876411959;0.87136045;0.867480991;0.862390143;0.856077189;0.850891254;0.846801565;0.841438709;0.837139376;0.832557652;0.827589625;0.823907891;0.820739666;0.816316613;0.812432239;0.809715896;0.808085002;0.804049752;0.801112104;0.79927152;0.795256227;0.795343685;0.79326415;0.792234213;0.792232399;0.789915747;0.791961781;0.791698228;0.792457472;0.790904878;0.793725093;0.794229758;0.795773928;0.796068875;0.79861636;0.800940271;0.802267831;0.805745104;0.809962274;0.812534801;0.815837098;0.820340745;0.824449041;0.829247878;0.83363181;0.836640691;0.842195093;0.84755875;0.851876988;0.858051906;0.861425089;0.868291602;0.873957822;0.878421606;0.884084242;0.888556992;0.894269974;0.898794101;0.903727172;0.909206676;0.912569483;0.917238266;0.920622377;0.925351982;0.929688479;0.932675523;0.936814662;0.938576431;0.938611684;0.939904466;0.941775134;9.058994293;8;0.265;2.946798201;0.844247788;7.48023979;-1.75;;0.101514045;72;;;;
