data_rho1;data_rho2;data_rho3;data_rho4;data_rho5;data_rho6;data_rho7;data_rho8;data_rho9;data_rho10;data_rho11;data_rho12;data_rho13;data_rho14;data_rho15;data_rho16;data_rho17;data_rho18;data_rho19;data_rho20;data_rho21;data_rho22;data_rho23;data_rho24;data_rho25;data_rho26;data_rho27;data_rho28;data_rho29;data_rho30;data_rho31;data_rho32;data_rho33;data_rho34;data_rho35;data_rho36;data_rho37;data_rho38;data_rho39;data_rho40;data_rho41;data_rho42;data_rho43;data_rho44;data_rho45;data_rho46;data_rho47;data_rho48;data_rho49;data_rho50;data_rho51;data_rho52;data_rho53;data_rho54;data_rho55;data_rho56;data_rho57;data_rho58;data_rho59;data_rho60;data_rho61;data_rho62;data_rho63;data_rho64;data_rho65;data_rho66;data_rho67;data_rho68;data_rho69;data_rho70;data_rho71;data_rho72;data_rho73;data_rho74;data_rho75;data_rho76;data_rho77;data_rho78;data_rho79;data_rho80;data_rho81;data_rho82;data_rho83;data_rho84;data_rho85;data_rho86;data_rho87;data_rho88;data_rho89;data_rho90;data_rho91;data_rho92;data_rho93;data_rho94;data_rho95;data_rho96;data_rho97;data_rho98;data_rho99;data_rho100;data_rho101;data_rho102;data_rho103;data_rho104;data_rho105;data_rho106;data_rho107;data_rho108;data_rho109;data_rho110;data_rho111;data_rho112;data_rho113;data_rho114;data_rho115;data_rho116;data_rho117;data_rho118;data_rho119;data_rho120;data_rho121;data_rho122;data_rho123;data_rho124;data_rho125;data_rho126;data_rho127;data_rho128;data_rho129;data_rho130;data_rho131;data_rho132;data_rho133;data_rho134;data_rho135;data_rho136;data_rho137;data_rho138;data_rho139;data_rho140;data_rho141;data_rho142;data_rho143;data_rho144;data_rho145;data_rho146;data_rho147;data_rho148;data_rho149;data_rho150;data_rho151;data_rho152;data_rho153;data_rho154;data_rho155;data_rho156;data_rho157;data_rho158;data_rho159;data_rho160;data_rho161;data_rho162;data_rho163;data_rho164;data_rho165;data_rho166;data_rho167;data_rho168;data_rho169;data_rho170;data_rho171;data_rho172;data_rho173;data_rho174;data_rho175;time;volt;current;Volume;Aspect_Ratio;Integr_Surface_Area;centred_z;conc;content;ST;;;;;;
0.923510548;0.921421749;0.921323557;0.920808776;0.918919322;0.918203453;0.915249166;0.913436515;0.909286227;0.906164849;0.900698455;0.896243308;0.891960109;0.88645371;0.881243142;0.87675125;0.870113476;0.864686618;0.858057628;0.852591544;0.845902034;0.840324327;0.833484163;0.829640279;0.821842671;0.816919349;0.81185635;0.806892798;0.8022863;0.79540477;0.791648946;0.788772514;0.784714715;0.78136191;0.776393838;0.774457844;0.773555623;0.770246934;0.767979331;0.766729911;0.76648326;0.763883509;0.762283505;0.765007031;0.762052342;0.763419147;0.76578271;0.765792813;0.766802081;0.768823281;0.771878272;0.772526198;0.774285024;0.779170144;0.78233362;0.785713589;0.788880897;0.794768784;0.799120097;0.802486437;0.808270349;0.81311383;0.818955664;0.823443644;0.828977834;0.835569219;0.840880979;0.84730422;0.852487307;0.857231259;0.863941796;0.867844249;0.875376782;0.879274107;0.885246931;0.890834145;0.896044454;0.898354344;0.902627755;0.906545117;0.91026795;0.912991188;0.9134663;0.91598894;0.917915291;0.918546682;0.917027181;0.920030514;0.917554192;0.916260021;0.915294946;0.910991301;0.909333349;0.905934414;0.903268047;0.89904419;0.895491781;0.890936851;0.885116303;0.880591248;0.874836861;0.870331366;0.864606825;0.860090581;0.854356766;0.847414665;0.84162947;0.836969605;0.831051208;0.826220478;0.820304636;0.815011286;0.810953025;0.805527633;0.801072797;0.797633297;0.792944936;0.788749644;0.785703235;0.781092988;0.779324502;0.77598783;0.772666557;0.769048754;0.768875187;0.766294828;0.764735393;0.764177985;0.761263477;0.762690167;0.761763611;0.761823303;0.762869615;0.761562513;0.764599399;0.765279519;0.766964137;0.766926816;0.769975897;0.771292358;0.775565479;0.77708366;0.781637799;0.783663171;0.787679471;0.791785162;0.796601815;0.800413339;0.80497851;0.810529237;0.814711524;0.819923232;0.826178742;0.831138482;0.83718827;0.841981895;0.847904397;0.85498833;0.85845813;0.865527858;0.869506072;0.876065012;0.881983416;0.886673249;0.891555672;0.8974067;0.901341605;0.90556431;0.908460959;0.911980008;0.916623824;0.918468429;0.919291901;0.92072316;0.923340884;0.061905861;8;0.268;2.714975105;0.828519856;6.9624174;-1.823333333;;0.01;72;;;;;;
0.916846585;0.91809486;0.917192169;0.917474987;0.915575048;0.914844646;0.911870899;0.910035079;0.906432836;0.902765669;0.899176847;0.893638973;0.889393794;0.883928831;0.879714301;0.874289217;0.869661182;0.862269693;0.858034169;0.850212586;0.84589319;0.840321917;0.833488716;0.827723179;0.82300456;0.816944474;0.811888134;0.806772897;0.802331246;0.797784745;0.794187654;0.789036208;0.787049469;0.782897246;0.779856062;0.777885592;0.773509846;0.773623275;0.771337857;0.769946599;0.766463831;0.767213264;0.765612498;0.765006652;0.765393137;0.766771863;0.765800599;0.769184526;0.770219209;0.772270048;0.772445244;0.776049838;0.777769731;0.780550084;0.784429257;0.788849615;0.79196706;0.795612544;0.800454952;0.804377528;0.80997947;0.814642781;0.820648641;0.825796437;0.831330007;0.835569487;0.84109194;0.847318447;0.852508584;0.858848014;0.863978003;0.870300601;0.875428511;0.881795643;0.8851472;0.890910553;0.896129472;0.898279315;0.902731955;0.905156278;0.910216447;0.912947477;0.913430175;0.915081414;0.917894747;0.918533023;0.917021121;0.916698613;0.917563287;0.914702031;0.912816249;0.910513657;0.907921258;0.905980997;0.900423751;0.898615685;0.89277309;0.888268488;0.884524115;0.880505267;0.874773033;0.870276042;0.864559166;0.857644952;0.85193212;0.847389556;0.841611453;0.834594947;0.831046655;0.825034737;0.820101633;0.815027139;0.810024083;0.804848637;0.800951162;0.797675348;0.792763913;0.788656;0.785627928;0.780067734;0.777451347;0.775925594;0.772758044;0.769001029;0.76883436;0.766260482;0.764707397;0.764156236;0.761248393;0.762681448;0.761760961;0.761826711;0.762879095;0.761578866;0.763567599;0.765308301;0.766999285;0.766287616;0.770025055;0.771348405;0.773712966;0.777154194;0.779700562;0.783749421;0.78688796;0.791187323;0.794370237;0.799528376;0.80354239;0.808132661;0.81233248;0.819215246;0.823817605;0.828787435;0.834837832;0.83963215;0.845551302;0.850238076;0.856087934;0.860718664;0.866558583;0.873652798;0.878528516;0.884213207;0.887911821;0.892253594;0.89780027;0.900222134;0.905000578;0.908550849;0.911144646;0.912600299;0.915932883;0.91737884;0.916673427;1.058808565;8;0.268;2.701185288;0.831521739;7.313806574;-1.823333333;;0.010051051;71.54232146;;;;;;
0.925172771;0.923076712;0.925517122;0.922455708;0.920565623;0.919851413;0.916900935;0.915034064;0.910953582;0.907591068;0.902390816;0.897606683;0.893296011;0.887765124;0.881055034;0.875600569;0.871359487;0.863531533;0.859271721;0.851430738;0.844731849;0.839150305;0.834654893;0.828876957;0.822032177;0.815699502;0.810734942;0.806535709;0.800642226;0.796442926;0.791631052;0.788877904;0.783599681;0.779481192;0.776470169;0.774524868;0.770166217;0.770293902;0.768020127;0.766763767;0.763152869;0.763898249;0.762292433;0.7616762;0.762045674;0.763403145;0.76240847;0.76576412;0.766764156;0.768775518;0.768561449;0.772463151;0.774127846;0.776846983;0.780658596;0.785611874;0.788038661;0.793607771;0.797961812;0.802341307;0.807113916;0.811956507;0.817795305;0.823328235;0.827804641;0.834389331;0.840631124;0.846104364;0.851274468;0.857591638;0.862698945;0.868996243;0.874095522;0.88043146;0.885572147;0.890536911;0.894870711;0.900223191;0.903818618;0.907022864;0.91028983;0.914144949;0.915202936;0.916826857;0.919616897;0.920233904;0.918702091;0.918361922;0.91921112;0.917911241;0.91443963;0.912128906;0.909662033;0.907585194;0.902052804;0.900195552;0.894306165;0.889759121;0.886143327;0.879430296;0.875405636;0.869174522;0.863452925;0.858937753;0.853200222;0.846256286;0.840467254;0.835801594;0.82987949;0.825037395;0.818903756;0.812571528;0.807363865;0.801912201;0.797441169;0.79394946;0.789232678;0.785101706;0.781879145;0.776603369;0.775826926;0.772529244;0.768564028;0.765653278;0.764694525;0.76293833;0.761392652;0.760845651;0.757937865;0.756026259;0.758432544;0.758483431;0.756180491;0.758196797;0.757850397;0.759638644;0.760821917;0.76276471;0.766455801;0.767725975;0.770031374;0.773407112;0.777896771;0.779851079;0.784049958;0.788185629;0.792528735;0.796857335;0.803242088;0.806995891;0.813549382;0.818752215;0.82264457;0.82995293;0.83362909;0.840774986;0.846683372;0.853750936;0.859610674;0.864254224;0.870109574;0.87474648;0.880637105;0.887844161;0.893434079;0.896013125;0.902026198;0.906781404;0.910225334;0.913723086;0.918130774;0.919770069;0.920983254;0.922401519;0.925008501;2.058810472;8;0.268;2.713211479;0.823423423;7.351177672;-1.813333333;;0.0100065;71.11006257;;;;;;
0.918565192;0.919902023;0.919090035;0.91946663;0.917662374;0.914853401;0.913533979;0.910729148;0.906539232;0.903654336;0.899451727;0.894001709;0.88984071;0.88445616;0.880319376;0.874976712;0.868442685;0.863114742;0.856584139;0.851213845;0.844614048;0.839125361;0.83236742;0.82756896;0.822034361;0.816045128;0.811058524;0.805398894;0.801635914;0.797154415;0.791143034;0.787735524;0.784349603;0.781066516;0.778702231;0.773801659;0.772984946;0.769760994;0.767575802;0.766409319;0.766241809;0.763720869;0.762198743;0.76166849;0.762124483;0.763569053;0.763168684;0.766102421;0.767192137;0.76929536;0.769878869;0.77316806;0.774930272;0.777751055;0.781669313;0.784314003;0.789271984;0.792945898;0.797327759;0.800306345;0.806663019;0.811595559;0.815156998;0.82210384;0.827722715;0.832040094;0.837438609;0.843938991;0.849198717;0.855604873;0.860799686;0.864769428;0.872370037;0.87633058;0.881527941;0.885635054;0.890718672;0.89564958;0.89865861;0.902748614;0.904480171;0.90734193;0.909874667;0.913076263;0.912634298;0.913374533;0.911956863;0.911721465;0.912666773;0.911453928;0.908061989;0.905821708;0.904734297;0.90139282;0.897709106;0.894595388;0.890332646;0.885955864;0.880306203;0.87594141;0.87033756;0.865972547;0.860380712;0.855988607;0.850371029;0.843539604;0.837857538;0.833293799;0.827468422;0.822719115;0.818208919;0.811664032;0.807675132;0.803331572;0.797936113;0.793048909;0.789667509;0.785735829;0.782743314;0.779182999;0.774877067;0.771686777;0.769819824;0.768454744;0.764942928;0.764344745;0.763435351;0.760552182;0.761077211;0.75924445;0.760207393;0.758535453;0.759654723;0.761766197;0.761520024;0.76226203;0.764005795;0.766771507;0.767238275;0.771115967;0.77444058;0.776254101;0.77897381;0.782500652;0.785767173;0.78996951;0.794084884;0.798782405;0.803436204;0.809074116;0.813342754;0.818641783;0.822622503;0.828194036;0.833797262;0.841033667;0.844664266;0.851819665;0.857765793;0.862494556;0.868435805;0.873156554;0.879133531;0.883880113;0.888816959;0.894720416;0.898184602;0.902972189;0.906182828;0.909809389;0.911442401;0.913728501;0.91742722;0.918955496;0.918334846;3.058795452;8;0.267;2.68656625;0.833030853;6.910347861;-1.836666667;;0.010105744;70.677811;;;;;;
0.918405785;0.916078753;0.918276954;0.914966214;0.915244866;0.912362875;0.910773578;0.907688372;0.905540174;0.902217217;0.896414683;0.892380185;0.887908715;0.882218525;0.877784433;0.872138734;0.865306601;0.859682844;0.855231993;0.84955688;0.842657913;0.836869836;0.830836672;0.825893047;0.818889827;0.814979539;0.809705605;0.803018316;0.799705288;0.794718621;0.790629178;0.787694371;0.782231737;0.777931876;0.774948787;0.772629219;0.771548949;0.768057666;0.765609357;0.764180101;0.763752225;0.762601145;0.762518272;0.761715314;0.761900581;0.76307408;0.761893403;0.765056489;0.765864834;0.767682682;0.770528692;0.77096676;0.773080639;0.777804719;0.78080455;0.783225362;0.787019506;0.792493397;0.796918015;0.799626772;0.805714093;0.810374055;0.815886067;0.820327377;0.827011706;0.832041119;0.83714406;0.843338876;0.848291224;0.854383761;0.859258089;0.865312937;0.870160202;0.876231717;0.881099458;0.887237074;0.89014396;0.89535948;0.898122064;0.901855503;0.906630697;0.909252791;0.909522725;0.910961578;0.913557688;0.91397018;0.912226827;0.915001518;0.912289906;0.910753762;0.910391509;0.907842057;0.903059114;0.900676155;0.89741222;0.892743106;0.889386882;0.885309068;0.880006203;0.875697406;0.870630104;0.865939368;0.860029234;0.852914717;0.849399453;0.84226394;0.838653812;0.83142374;0.827662376;0.820266902;0.816285701;0.810991214;0.806154135;0.801069503;0.796824299;0.792718694;0.788454885;0.784134768;0.780974182;0.777702562;0.774323185;0.770848906;0.768449937;0.767090192;0.763311427;0.762160913;0.762240895;0.758140853;0.758405126;0.756823695;0.75853271;0.758400613;0.759250491;0.75774269;0.760567655;0.761033438;0.762495484;0.764972209;0.765035969;0.767091987;0.771626105;0.774419882;0.775603839;0.780195849;0.783888827;0.787904336;0.792080613;0.795632061;0.799904409;0.805283643;0.810558328;0.814305443;0.820362137;0.827471138;0.830940436;0.837869999;0.843557196;0.848005219;0.853611289;0.860414608;0.866011982;0.870383141;0.875992444;0.880364274;0.88602031;0.891036446;0.894550052;0.89913214;0.903509136;0.907835968;0.909172109;0.911400796;0.914786408;0.915996713;0.915053347;4.058790684;8;0.268;2.673265488;0.829401089;7.244079697;-1.846666667;;0.010156025;70.24555499;;;;;;
0.92011151;0.921221308;0.920184396;0.916977239;0.917645955;0.914058907;0.913260404;0.908955816;0.905804061;0.901388302;0.898277946;0.892607289;0.888233072;0.882636739;0.875849295;0.870318695;0.865999813;0.8580808;0.853729814;0.846936625;0.841347688;0.83469657;0.828687187;0.822787651;0.815949146;0.811725972;0.80473184;0.801066084;0.794677546;0.791919981;0.785668791;0.782908864;0.778347402;0.774788296;0.770426906;0.768443996;0.766889544;0.76411613;0.761782148;0.760459104;0.760129628;0.757438493;0.755740548;0.758360128;0.758625642;0.756534492;0.758765271;0.758633862;0.759488175;0.761343496;0.764221884;0.768150077;0.769658632;0.772211394;0.775845183;0.780609105;0.782837312;0.788349824;0.792653101;0.796446292;0.801679705;0.807878762;0.812203159;0.818961749;0.824380824;0.830212235;0.836044007;0.840831496;0.847370838;0.853551164;0.85851376;0.864656953;0.869595987;0.875762085;0.880721081;0.886953615;0.89197165;0.895718789;0.898937832;0.902810658;0.907759798;0.910373836;0.910734262;0.913173818;0.91494625;0.915453098;0.917139703;0.916675131;0.914061599;0.912625637;0.912366408;0.909923255;0.905246455;0.903169183;0.899951712;0.895333497;0.892028509;0.887388651;0.881485504;0.876876546;0.871837378;0.866431323;0.860609508;0.855997486;0.850162861;0.843113906;0.837825227;0.832449605;0.826417384;0.821466824;0.815214926;0.810805363;0.805809291;0.800243022;0.795655375;0.792043067;0.787103725;0.782899989;0.779849275;0.774797294;0.773404742;0.770030272;0.767725586;0.76453041;0.762765964;0.760117973;0.758485286;0.757848547;0.758195888;0.756181054;0.755151085;0.755099487;0.75602591;0.757936151;0.757485953;0.758016974;0.759541441;0.762078244;0.765653114;0.766807929;0.768993246;0.772243708;0.775942056;0.778425262;0.781336618;0.785392221;0.790657782;0.796241848;0.800717299;0.806114241;0.810260081;0.81536236;0.821502185;0.826341497;0.83226141;0.836916975;0.842691887;0.849617943;0.855327607;0.859814824;0.865504406;0.872441322;0.878178704;0.882678593;0.888469466;0.892996443;0.898859186;0.900692213;0.905876153;0.909284184;0.911182195;0.915500174;0.916239119;0.917542817;0.92002862;5.058779478;8;0.268;2.676717139;0.824275362;6.941304485;-1.816666667;;0.010142929;69.81330177;;;;;;
0.931864791;0.933158684;0.932321324;0.929329229;0.927518218;0.926893454;0.924039013;0.921140337;0.916686694;0.911867698;0.906570681;0.902047841;0.896641604;0.891115993;0.884411485;0.878969638;0.87234592;0.864552447;0.857957492;0.850157073;0.843503731;0.837513853;0.831146433;0.825400773;0.818328827;0.812270577;0.8072109;0.800392948;0.795198619;0.789246894;0.785504154;0.779218229;0.777396288;0.77375273;0.768796322;0.765528298;0.763694815;0.761537406;0.759361303;0.758192581;0.754658873;0.755468917;0.753914187;0.753338543;0.753738266;0.755116647;0.754131279;0.756412353;0.758473677;0.760462802;0.761122053;0.764068342;0.765988436;0.771038825;0.77435579;0.778562783;0.782951266;0.786448623;0.791619732;0.797051808;0.80333627;0.808235775;0.814127541;0.821025955;0.826589955;0.833213378;0.838556089;0.845003158;0.852580612;0.858946163;0.864098121;0.870449214;0.878038839;0.884456128;0.890387283;0.896212053;0.901533568;0.906900245;0.911018013;0.915132453;0.918627792;0.921315635;0.925147475;0.926759331;0.926199724;0.92840919;0.928673481;0.928372178;0.92759602;0.924694263;0.924645565;0.92201477;0.917989989;0.914688876;0.91091872;0.906258052;0.900301925;0.895696946;0.889839758;0.885286722;0.879504238;0.872536067;0.86682305;0.859915949;0.851825593;0.847303292;0.840528786;0.834560423;0.826320342;0.821517088;0.815416657;0.809522046;0.803196674;0.798227575;0.794038853;0.788068983;0.782899538;0.778930786;0.773486313;0.770717101;0.766483384;0.763346187;0.761263616;0.756746574;0.756712375;0.754252512;0.752797202;0.748968511;0.749486381;0.747631576;0.749522284;0.746835253;0.747888824;0.749917259;0.749572352;0.750199478;0.751811544;0.754428117;0.758075692;0.759291122;0.762170742;0.765325072;0.76922154;0.774267456;0.777769534;0.781908808;0.786974682;0.790662033;0.797697506;0.802959923;0.807553016;0.813014756;0.819099128;0.826446787;0.8325155;0.839696904;0.845640551;0.852743145;0.858636327;0.865739126;0.871652607;0.878829668;0.883726625;0.889580782;0.895654446;0.900479604;0.906291068;0.911002939;0.915081181;0.920285003;0.923409458;0.925239116;0.927579425;0.929026445;0.931671038;6.058782578;8;0.267;2.731718747;0.808586762;7.372652308;-1.781666667;;0.009938707;69.38104237;;;;;;
0.931756173;0.929483968;0.930436249;0.928534252;0.926492281;0.925633751;0.922548689;0.920613373;0.915948056;0.909987255;0.90539003;0.902086628;0.895757211;0.889289702;0.884821733;0.876730958;0.86990271;0.864288655;0.857478187;0.851833336;0.844962513;0.836853392;0.832196302;0.824994339;0.818982086;0.812731515;0.805733478;0.800812639;0.795523157;0.790343972;0.786375418;0.781060828;0.77819381;0.773990167;0.770890271;0.768351494;0.764393802;0.761001648;0.758641828;0.75728984;0.756927978;0.7542;0.755800185;0.755039265;0.755255981;0.756451765;0.755285122;0.758454503;0.759259834;0.761066388;0.7638931;0.764301628;0.769222829;0.771719971;0.775295621;0.779999016;0.782165675;0.78922801;0.793748007;0.796994647;0.803134634;0.807845628;0.81591744;0.82024963;0.827938781;0.833474192;0.839533212;0.845772793;0.853140313;0.85929275;0.866625492;0.872772039;0.877721458;0.883906772;0.891386095;0.896444692;0.900520453;0.906665548;0.911753516;0.915428999;0.918253071;0.922090742;0.922870931;0.927637471;0.926846792;0.927257834;0.928864729;0.928336057;0.928601812;0.927220181;0.923927322;0.92148116;0.916818496;0.913949835;0.910894128;0.906167218;0.901997283;0.896409529;0.891017702;0.886220687;0.880198267;0.872994676;0.867054767;0.859924623;0.854004448;0.846881787;0.840919061;0.835020289;0.827634392;0.82263228;0.816330234;0.811068967;0.80537744;0.800131262;0.794193216;0.789456483;0.784045032;0.779849367;0.776802417;0.773015353;0.770353628;0.766969369;0.763709706;0.759903527;0.756579378;0.756983662;0.755325349;0.751297763;0.751623487;0.74957821;0.751844131;0.751745559;0.74928339;0.751129837;0.753692919;0.754429607;0.755882901;0.757197743;0.758379357;0.7629003;0.764989489;0.768135441;0.77238;0.774860675;0.780452322;0.784476759;0.787009746;0.792909959;0.799746289;0.802787164;0.809199447;0.814738898;0.820344909;0.827491237;0.833355803;0.840331485;0.846066278;0.852955247;0.858632516;0.86551194;0.871199504;0.878141433;0.883888908;0.89042989;0.895332104;0.901241365;0.904699057;0.909312395;0.914785076;0.918070709;0.922491453;0.924694227;0.928072411;0.929291917;0.931708783;7.058769703;8;0.266;2.734546675;0.810375671;7.321967347;-1.773333333;;0.009928428;68.94878987;;;;;;
0.933415798;0.93446498;0.933384575;0.932480863;0.92809989;0.927234275;0.924143619;0.922205236;0.917540164;0.914148125;0.909179262;0.903546767;0.896449746;0.890676736;0.883732151;0.878053513;0.871197584;0.865558538;0.858723672;0.850690479;0.843806344;0.836662086;0.831007165;0.825041062;0.817755434;0.811484801;0.80604455;0.799522942;0.795786807;0.790587073;0.785096124;0.78006477;0.775100108;0.771431271;0.767506566;0.765493881;0.761053677;0.761096015;0.758719516;0.757352107;0.753619897;0.754235092;0.752483515;0.7517104;0.751910808;0.753085961;0.755243615;0.755036122;0.755809079;0.757576415;0.760358733;0.764183561;0.765584046;0.771057162;0.774181865;0.778200081;0.781958407;0.78642683;0.79312227;0.795881811;0.802266141;0.809103103;0.814782285;0.819099621;0.826814536;0.833216346;0.840052085;0.846923221;0.854090642;0.860415619;0.865344811;0.873297354;0.878817328;0.886005475;0.892466524;0.898499436;0.903879166;0.907734756;0.912918686;0.917312168;0.922046908;0.924469679;0.928040372;0.929392156;0.928575836;0.932305639;0.930549547;0.930001493;0.930657812;0.929180675;0.925549436;0.92309267;0.920611786;0.918299176;0.912488003;0.907760179;0.90355406;0.89800786;0.892488058;0.885152079;0.879115444;0.874356736;0.868385495;0.861227319;0.855281906;0.848134667;0.842149736;0.834930817;0.828827056;0.821448013;0.816020965;0.80985263;0.805590945;0.799960794;0.792909952;0.789213266;0.784046451;0.779806001;0.774001208;0.771386418;0.766928114;0.763575276;0.761284283;0.756557808;0.756325898;0.753666277;0.752014398;0.751350393;0.748312413;0.749600315;0.748517316;0.74840543;0.74926308;0.747749932;0.750557245;0.750990133;0.752406162;0.754823575;0.758267479;0.759280807;0.762225823;0.765189273;0.769035926;0.773881211;0.77687946;0.780927621;0.785897116;0.791982472;0.796235671;0.801652861;0.808054392;0.814342779;0.819171613;0.826302802;0.832151054;0.839105964;0.847194053;0.851683928;0.859739005;0.866614122;0.872290364;0.879226113;0.884966804;0.892022138;0.897306516;0.902484332;0.906567402;0.911046529;0.916608091;0.919863256;0.924254183;0.926432461;0.92978637;0.930983845;0.933380949;8.058748484;8;0.265;2.741279311;0.805357143;7.398431024;-1.786666667;;0.009904044;68.51654098;;;;;;
0.926808103;0.927990122;0.927034325;0.927276789;0.925350884;0.923547179;0.921631807;0.916352209;0.912165509;0.909077238;0.903946763;0.898258905;0.893876306;0.888276534;0.881497194;0.873559229;0.869275108;0.861395135;0.854716998;0.847586055;0.842446806;0.834452942;0.829258965;0.821700831;0.816810683;0.810563179;0.803193992;0.798054145;0.793372708;0.786809807;0.783019205;0.779584398;0.775162591;0.771111447;0.768154982;0.764509027;0.761925808;0.758656833;0.756415018;0.755177704;0.754926552;0.75230766;0.750674608;0.7533504;0.751418584;0.751617484;0.753885683;0.753785757;0.754666907;0.756542822;0.759434917;0.763371582;0.764881351;0.768258382;0.771534915;0.775798482;0.781725161;0.785104037;0.78965476;0.795447673;0.800199041;0.806958125;0.812665287;0.817664721;0.823929514;0.829672586;0.837278589;0.843626711;0.85057303;0.857358195;0.862405329;0.86864098;0.876108541;0.882404146;0.887503415;0.893117577;0.899073114;0.902998242;0.90889384;0.912715915;0.917511373;0.920224352;0.920577049;0.922110198;0.924817558;0.925357024;0.92708937;0.926683821;0.924142255;0.922791638;0.922631754;0.919753782;0.915747824;0.91232832;0.908489683;0.903767565;0.900372262;0.895656707;0.889694847;0.883207248;0.87667582;0.872082867;0.866270243;0.859267012;0.853469584;0.846464934;0.840617297;0.834074077;0.827556987;0.822662671;0.816469206;0.811312178;0.804805557;0.800051167;0.79475292;0.789610619;0.784309829;0.780219446;0.777273422;0.771775332;0.76766362;0.764632378;0.762013923;0.760857952;0.75727468;0.754724095;0.753180253;0.752624091;0.753043177;0.751093034;0.750121209;0.750122189;0.751095761;0.75304766;0.752630348;0.753188307;0.754733979;0.757286432;0.760871617;0.76202956;0.764212121;0.767453419;0.771797587;0.776361341;0.779564797;0.783696749;0.788754988;0.792338916;0.796896272;0.802427245;0.808944582;0.814106609;0.820302363;0.826269931;0.833535012;0.838252149;0.844508447;0.851088044;0.857569458;0.86385901;0.869648493;0.876694441;0.882549873;0.889718256;0.89310334;0.898344734;0.903799182;0.908524257;0.91231481;0.916569014;0.920289614;0.922624849;0.926130331;0.927475938;0.926683495;9.058749914;8;0.266;2.715947719;0.810035842;6.996430572;-1.798333333;;0.009996419;68.0842823;;;;;;
