data_rho1;data_rho2;data_rho3;data_rho4;data_rho5;data_rho6;data_rho7;data_rho8;data_rho9;data_rho10;data_rho11;data_rho12;data_rho13;data_rho14;data_rho15;data_rho16;data_rho17;data_rho18;data_rho19;data_rho20;data_rho21;data_rho22;data_rho23;data_rho24;data_rho25;data_rho26;data_rho27;data_rho28;data_rho29;data_rho30;data_rho31;data_rho32;data_rho33;data_rho34;data_rho35;data_rho36;data_rho37;data_rho38;data_rho39;data_rho40;data_rho41;data_rho42;data_rho43;data_rho44;data_rho45;data_rho46;data_rho47;data_rho48;data_rho49;data_rho50;data_rho51;data_rho52;data_rho53;data_rho54;data_rho55;data_rho56;data_rho57;data_rho58;data_rho59;data_rho60;data_rho61;data_rho62;data_rho63;data_rho64;data_rho65;data_rho66;data_rho67;data_rho68;data_rho69;data_rho70;data_rho71;data_rho72;data_rho73;data_rho74;data_rho75;data_rho76;data_rho77;data_rho78;data_rho79;data_rho80;data_rho81;data_rho82;data_rho83;data_rho84;data_rho85;data_rho86;data_rho87;data_rho88;data_rho89;data_rho90;data_rho91;data_rho92;data_rho93;data_rho94;data_rho95;data_rho96;data_rho97;data_rho98;data_rho99;data_rho100;data_rho101;data_rho102;data_rho103;data_rho104;data_rho105;data_rho106;data_rho107;data_rho108;data_rho109;data_rho110;data_rho111;data_rho112;data_rho113;data_rho114;data_rho115;data_rho116;data_rho117;data_rho118;data_rho119;data_rho120;data_rho121;data_rho122;data_rho123;data_rho124;data_rho125;data_rho126;data_rho127;data_rho128;data_rho129;data_rho130;data_rho131;data_rho132;data_rho133;data_rho134;data_rho135;data_rho136;data_rho137;data_rho138;data_rho139;data_rho140;data_rho141;data_rho142;data_rho143;data_rho144;data_rho145;data_rho146;data_rho147;data_rho148;data_rho149;data_rho150;data_rho151;data_rho152;data_rho153;data_rho154;data_rho155;data_rho156;data_rho157;data_rho158;data_rho159;data_rho160;data_rho161;data_rho162;data_rho163;data_rho164;data_rho165;data_rho166;data_rho167;data_rho168;data_rho169;data_rho170;data_rho171;data_rho172;data_rho173;data_rho174;data_rho175;time;volt;current;Volume;Aspect_Ratio;Integr_Surface_Area;centred_z;conc;content;ST
0.965338718;0.963543199;0.962992557;0.960324734;0.958880167;0.953265489;0.94940192;0.944676364;0.937583872;0.929243234;0.922216047;0.911721117;0.902303775;0.894451033;0.883038112;0.872975119;0.864189775;0.851868795;0.843146626;0.833218269;0.822064103;0.813621815;0.803946748;0.795005589;0.785639666;0.777226297;0.768063183;0.761642993;0.755033053;0.747748098;0.742150615;0.735643125;0.728930911;0.724201932;0.720151287;0.715564388;0.711991609;0.709397847;0.707753428;0.703676306;0.701810952;0.70168471;0.700390769;0.700002901;0.700524577;0.70134286;0.700950073;0.704218612;0.705048019;0.706810081;0.709520568;0.71321202;0.717917309;0.722459735;0.726932885;0.731244348;0.736665552;0.743259972;0.75110445;0.756311947;0.764235736;0.771896416;0.779857842;0.790003315;0.798149615;0.807313733;0.815166858;0.826472727;0.83654197;0.84539669;0.855455992;0.864348967;0.874521563;0.886031161;0.896465759;0.903283971;0.913827107;0.92113404;0.928984082;0.936335725;0.941312056;0.947410936;0.951595162;0.956286889;0.959153368;0.959899494;0.961881871;0.961773858;0.959573805;0.955744067;0.955207202;0.950283823;0.94621786;0.939904992;0.932272004;0.927143095;0.91866045;0.911383418;0.902963963;0.893433677;0.882812995;0.873560538;0.865609754;0.854098086;0.84623269;0.834796997;0.824540638;0.815759493;0.807374486;0.798974951;0.789705461;0.780003549;0.774296162;0.76580932;0.758895036;0.750443042;0.745272008;0.739039604;0.733396574;0.727371051;0.721847714;0.719459324;0.714567554;0.710697183;0.707810355;0.705881116;0.7015136;0.701451747;0.698954129;0.697370693;0.696696342;0.696922469;0.698053966;0.700095813;0.699698471;0.702417609;0.705040805;0.707436162;0.710258728;0.712672299;0.717010867;0.719938197;0.727294503;0.732397609;0.73683819;0.742078844;0.749716775;0.75623168;0.763634376;0.77194386;0.778398065;0.786662114;0.795500807;0.804928364;0.813940476;0.823612461;0.832414184;0.844046872;0.852479741;0.862155569;0.873139373;0.883015326;0.89177088;0.901938306;0.908814772;0.918937823;0.925686938;0.933931889;0.940971453;0.946714602;0.954425938;0.956904308;0.960600207;0.962183153;0.965005426;0.061900377;8;0.276;2.740643095;0.725388601;7.196434318;-1.731666667;;0.1;42.5
0.968704646;0.966956074;0.966456663;0.963844755;0.959078292;0.955501954;0.949682584;0.9450001;0.937949462;0.93002729;0.923029658;0.912378689;0.903183165;0.892900874;0.883982025;0.873950291;0.862801831;0.852909009;0.84185049;0.831964381;0.821600857;0.813178091;0.801846322;0.792874041;0.784555438;0.776167254;0.766308786;0.759074677;0.751613917;0.746299681;0.73984236;0.732196999;0.726766935;0.720134783;0.718109767;0.713579447;0.71005666;0.707051408;0.702525507;0.701873518;0.698783063;0.696616463;0.697945701;0.69500684;0.69555282;0.697003432;0.699365476;0.699288334;0.703508546;0.705290335;0.708019743;0.711726502;0.716447811;0.718657103;0.725045863;0.729811727;0.735242829;0.741846132;0.749698758;0.754910887;0.761374593;0.770582522;0.779199994;0.788763038;0.797404263;0.806143822;0.816393923;0.825370477;0.835472767;0.846748384;0.85445219;0.86579686;0.876018752;0.887588761;0.898081891;0.907493901;0.915796184;0.925561995;0.932128122;0.939483256;0.945318771;0.950581461;0.956759635;0.959500634;0.962393483;0.963173067;0.965192905;0.965124907;0.964492335;0.962056418;0.959027533;0.953842765;0.949839657;0.943594492;0.938414911;0.930807072;0.922053118;0.914766214;0.906339441;0.896737287;0.88618739;0.876940377;0.866578042;0.857497432;0.847265184;0.836067424;0.82567689;0.816544252;0.806180514;0.799229102;0.788579262;0.780966027;0.771482908;0.764769148;0.756844032;0.749449857;0.74346073;0.736710413;0.731141762;0.726446399;0.71972773;0.717402369;0.712565151;0.708745252;0.70590924;0.7040233;0.699698343;0.699677308;0.697214025;0.695666609;0.695021639;0.695279023;0.696435946;0.695154518;0.698129259;0.698661525;0.700398771;0.704054359;0.70583653;0.710176523;0.715549509;0.718402264;0.723188623;0.728869589;0.733352942;0.74066628;0.745896514;0.754866996;0.762308754;0.768286346;0.777567124;0.78544713;0.794320497;0.803516163;0.812827191;0.822531735;0.830995854;0.843029913;0.853903474;0.861202458;0.872216648;0.882123828;0.890911483;0.901109272;0.910207941;0.920809384;0.927640361;0.935971343;0.943099068;0.949576339;0.95426572;0.960137236;0.963847817;0.96548112;0.968343864;1.059031248;8;0.276;2.751678565;0.721170396;7.192514756;-1.73;;0.099598955;42.5
0.96865413;0.967240669;0.966269521;0.963589585;0.962136929;0.9585153;0.952656688;0.947936951;0.940740008;0.932171972;0.922699445;0.914319423;0.905025411;0.897117329;0.885651457;0.875538179;0.866147543;0.85673007;0.844638814;0.834283491;0.824447448;0.814358819;0.805331773;0.79643828;0.785575626;0.777142049;0.76963252;0.762017434;0.754887819;0.74900078;0.741101463;0.733378222;0.72916168;0.723950566;0.720333021;0.715723902;0.712130389;0.709514637;0.704463385;0.703753185;0.700603166;0.701722857;0.700408536;0.700001984;0.700504269;0.698570973;0.700891377;0.70076913;0.70495003;0.706690548;0.709380283;0.713050579;0.717732538;0.720118779;0.726700131;0.730987242;0.736381076;0.742946801;0.750761139;0.755936342;0.764336777;0.771976982;0.780536532;0.790040154;0.798220559;0.807307455;0.817501575;0.826421438;0.836467017;0.845299072;0.855332767;0.866618522;0.876780375;0.886025968;0.896229432;0.905544103;0.914106247;0.923406966;0.931966232;0.939374363;0.944915004;0.950469359;0.954760495;0.958932432;0.962387126;0.963280211;0.962979014;0.964839011;0.962874527;0.958547099;0.955775095;0.953517959;0.946904492;0.941798748;0.935392371;0.927769817;0.920373287;0.911686655;0.903233496;0.893674365;0.884834634;0.8737438;0.865765497;0.854227003;0.843949665;0.834876656;0.824595898;0.815446049;0.805024315;0.795659026;0.787309827;0.779947574;0.771175794;0.762498819;0.755823463;0.750304526;0.742364668;0.735576704;0.729971827;0.725485812;0.720195141;0.716122319;0.711246701;0.707390944;0.704514109;0.702589729;0.701595729;0.698158406;0.69565301;0.697394385;0.696701416;0.693573063;0.694681129;0.696692103;0.69626327;0.700115061;0.701524601;0.70386839;0.707175648;0.711476771;0.713555356;0.719630042;0.723479483;0.728405813;0.73447099;0.741746523;0.747429062;0.753943365;0.761340447;0.7696394;0.777889832;0.785082552;0.795503498;0.804275602;0.813898227;0.823546632;0.831955732;0.843931139;0.854432457;0.861989997;0.872944003;0.882791277;0.892643007;0.901653859;0.910689252;0.921224485;0.929236148;0.936253243;0.943310755;0.949907646;0.954529716;0.960334285;0.96399157;0.965542393;0.968337491;2.05903554;8;0.277;2.752015544;0.722891566;7.43405529;-1.748333333;;0.099586759;42.5
0.965289274;0.963423762;0.962802548;0.960064813;0.958549591;0.954860886;0.94893029;0.944134292;0.936971669;0.928817149;0.921722884;0.913497084;0.904167076;0.893762709;0.884725662;0.874576746;0.863316589;0.853318552;0.843295878;0.832944885;0.82330998;0.813185664;0.804121407;0.795099192;0.7866616;0.778195286;0.770656717;0.761618094;0.755446644;0.747615902;0.741037926;0.735636656;0.731347433;0.724559445;0.718914098;0.716420931;0.714079922;0.708002291;0.706318117;0.705563888;0.702372743;0.700114956;0.701905923;0.701668646;0.701462572;0.700178892;0.702471116;0.702325266;0.706482337;0.708200339;0.710871739;0.714522611;0.719186581;0.721345446;0.728124534;0.73239829;0.737779908;0.744334321;0.750762407;0.757305792;0.765700629;0.773300006;0.780723859;0.791285707;0.799372994;0.808478882;0.816275536;0.827521326;0.837531837;0.846328445;0.856328094;0.865159816;0.875272031;0.886717744;0.897088731;0.906367902;0.914535886;0.921562183;0.930038179;0.936866645;0.943467813;0.947802325;0.951672319;0.95653899;0.95933578;0.96001223;0.961925199;0.961746751;0.959477338;0.95844348;0.955290612;0.950017562;0.945843694;0.93946149;0.934197145;0.927050472;0.919967497;0.910900156;0.902415075;0.892821355;0.884608018;0.875267532;0.864811553;0.85563916;0.84531493;0.836197555;0.825873276;0.816680746;0.808215661;0.799176082;0.789876869;0.783052131;0.773396841;0.76523789;0.75845625;0.752950332;0.744807778;0.739260247;0.733253568;0.727691829;0.724199931;0.718200026;0.714645555;0.712805832;0.709849873;0.704457867;0.703418412;0.701729857;0.700741019;0.699104902;0.698376535;0.698553524;0.69963622;0.698282236;0.701190074;0.701655371;0.706447514;0.708174096;0.709708626;0.712938342;0.718255572;0.721061634;0.724897654;0.732154484;0.736050633;0.743131697;0.748847183;0.757607382;0.762674957;0.770934391;0.779246025;0.787905489;0.795178846;0.805632661;0.812937779;0.822251414;0.832997932;0.842547563;0.853314642;0.862931042;0.871398202;0.881184157;0.889844653;0.899910931;0.908871663;0.916694907;0.926009221;0.934180676;0.939899531;0.946734231;0.951332858;0.956876476;0.960735261;0.962248694;0.965001439;3.059024811;8;0.276;2.743410387;0.727115717;7.174789045;-1.753333333;;0.099899129;42.5
0.963684588;0.965245635;0.961367693;0.959660287;0.957275132;0.953663822;0.947807941;0.943084163;0.935990838;0.927718;0.920733463;0.912613199;0.903385229;0.893080132;0.884137156;0.874079801;0.862908317;0.852995083;0.84328138;0.833037302;0.823226247;0.813191077;0.803552212;0.79554656;0.784737033;0.778474051;0.768610868;0.761385546;0.753917551;0.748473404;0.741955583;0.736611872;0.729692784;0.725648881;0.720024762;0.715455504;0.711897696;0.709316124;0.707688423;0.703624554;0.703858729;0.701660728;0.700377434;0.700005299;0.700538367;0.701981657;0.700991003;0.704271575;0.705117541;0.709461146;0.713061678;0.713324333;0.718043886;0.723821661;0.72709415;0.732806783;0.738629573;0.743475641;0.751342385;0.758596042;0.765362796;0.773031342;0.781621263;0.79110118;0.799192202;0.808494667;0.818728111;0.827689561;0.837779549;0.846658266;0.856742177;0.865660494;0.875863667;0.887404882;0.896864691;0.904730034;0.915430356;0.922664771;0.930578178;0.935996941;0.94290745;0.949010868;0.952866336;0.955417087;0.957433131;0.960552852;0.960204186;0.960114845;0.961267922;0.956980088;0.953909817;0.948675922;0.944668014;0.938308495;0.93334803;0.925813401;0.91902195;0.909890187;0.901511486;0.892020013;0.883903906;0.874657646;0.86429331;0.855208599;0.844969207;0.834078763;0.825688514;0.816572878;0.80619003;0.798573673;0.790317049;0.781227658;0.773984323;0.765894795;0.757774907;0.749826477;0.744159049;0.738840603;0.733215417;0.72625352;0.721700253;0.715803405;0.714454064;0.710596946;0.707725989;0.704002683;0.701455635;0.701410403;0.698923697;0.69735524;0.696692784;0.696932847;0.698077082;0.696782309;0.699748642;0.700270733;0.701713586;0.70433506;0.707436201;0.711773793;0.717025982;0.720007224;0.723896934;0.729031427;0.734981287;0.74230705;0.746980209;0.752860584;0.760040139;0.768627582;0.777606925;0.78546588;0.794320115;0.804202772;0.812770264;0.821901317;0.830919277;0.840531356;0.851369494;0.861053586;0.869586376;0.879440327;0.890686666;0.898303372;0.907333724;0.916533071;0.924610902;0.932853417;0.937676749;0.945625202;0.952671887;0.955176998;0.958895596;0.960498995;0.963340694;4.059018373;8;0.277;2.736333048;0.726643599;7.206733669;-1.761666667;;0.100157512;42.5
0.963669229;0.963502458;0.961311443;0.961568303;0.957178597;0.953546223;0.948504216;0.942414371;0.935813515;0.929268404;0.919682903;0.911555779;0.903119338;0.894467492;0.883054992;0.872984444;0.86420069;0.854258732;0.843154034;0.83322464;0.824424846;0.814359427;0.805350086;0.795002799;0.787255433;0.777956229;0.770127588;0.763142399;0.754565278;0.747734554;0.741272543;0.735625034;0.730752337;0.72417778;0.721922768;0.717315428;0.713722652;0.711111659;0.707918182;0.705365823;0.702226656;0.703359708;0.702058052;0.70167099;0.702189792;0.701381772;0.702622003;0.705895697;0.706736051;0.708506076;0.711232335;0.714938951;0.719661227;0.722478295;0.728722816;0.733061543;0.738512184;0.745140311;0.751610897;0.75827137;0.764777588;0.772639753;0.781972968;0.790007648;0.800508607;0.807313385;0.817523826;0.826466895;0.836533889;0.847774175;0.85703392;0.86675548;0.876946132;0.886015469;0.896445636;0.905789679;0.914021378;0.921104387;0.929650633;0.937040217;0.943039772;0.948084144;0.952959703;0.954614869;0.957484865;0.961570953;0.960216968;0.960106013;0.960819567;0.956932357;0.953841324;0.948587659;0.944508489;0.938615669;0.932967029;0.925379807;0.91868467;0.909740426;0.901582511;0.893453122;0.882832027;0.873577035;0.865621944;0.854107153;0.844382708;0.837178518;0.826910371;0.817775897;0.807374114;0.798028982;0.789703045;0.781780251;0.77362352;0.765803798;0.757472759;0.752048551;0.745260565;0.738483017;0.735017016;0.727080323;0.723651235;0.717713172;0.71632372;0.712432711;0.709530964;0.7041929;0.703205535;0.701310985;0.700627826;0.699042175;0.698362416;0.698589349;0.699720813;0.698416831;0.701374715;0.701891379;0.703330179;0.705959698;0.709051134;0.713390932;0.718520601;0.721634889;0.725534105;0.730515331;0.736641959;0.743983333;0.748677326;0.756242625;0.763644145;0.770402921;0.778823412;0.786664273;0.795501168;0.803006801;0.813935854;0.821237101;0.832040587;0.841642397;0.852465345;0.86214293;0.870666422;0.88051217;0.88923621;0.899363194;0.908388284;0.916710322;0.925658777;0.931996656;0.940931337;0.944709821;0.951022899;0.955236099;0.958933822;0.960516413;0.963339653;5.058985233;8;0.277;2.739531044;0.728373702;7.167441571;-1.746666667;;0.100040593;42.5
0.968794597;0.967160357;0.966772282;0.964271675;0.962336594;0.956153254;0.95145045;0.945878007;0.938940535;0.932536483;0.923066087;0.915051595;0.905933956;0.895736258;0.885138251;0.876447509;0.865885895;0.856081252;0.844517358;0.834382974;0.824287501;0.814352722;0.805192099;0.795255334;0.78655643;0.777431629;0.76976554;0.761475545;0.75450329;0.746890376;0.740517969;0.735311825;0.727606447;0.724606632;0.719102762;0.714646823;0.711200089;0.70872766;0.704373077;0.703242133;0.700227253;0.701477124;0.700294541;0.700017609;0.70065099;0.698847908;0.701300703;0.70131197;0.705629957;0.707510204;0.710342662;0.714161039;0.715473364;0.721326998;0.72537444;0.732751082;0.738328758;0.743216137;0.749212739;0.756780778;0.765160728;0.773184354;0.780142896;0.789371296;0.798061183;0.807372083;0.817698146;0.826774472;0.836981907;0.845980953;0.856186498;0.865229564;0.877999635;0.887234751;0.897842104;0.907364269;0.915781054;0.923062974;0.931180637;0.938646847;0.943744488;0.949968065;0.954615032;0.959108876;0.962114567;0.963004271;0.965135618;0.965180428;0.963135915;0.958987629;0.956057715;0.952871179;0.947051903;0.941560956;0.935351821;0.9279229;0.919338544;0.912212065;0.903938046;0.8945483;0.884072146;0.874956777;0.864721815;0.855761865;0.84564407;0.835341571;0.825117007;0.816750918;0.807329147;0.798112173;0.787591468;0.78033266;0.77169862;0.763987674;0.757234555;0.75125131;0.744030956;0.737366169;0.731880475;0.726121617;0.72062614;0.718370934;0.713611699;0.709868226;0.707103543;0.701901718;0.701043826;0.697740642;0.698711014;0.697238682;0.696675767;0.697011967;0.696336762;0.69705745;0.700125035;0.700748091;0.702293605;0.704779036;0.708230519;0.712683992;0.714620738;0.721154671;0.725173649;0.730279263;0.73587236;0.740794037;0.748839363;0.754889571;0.762251376;0.77103496;0.778569845;0.786536041;0.7954996;0.803848743;0.814197465;0.824003788;0.83257605;0.842326267;0.85330194;0.863133494;0.874277008;0.881833976;0.893250259;0.902082557;0.91088407;0.920620048;0.927937178;0.93610049;0.943666114;0.949039887;0.954240248;0.959821197;0.963658648;0.965387718;0.968362811;6.058998108;8;0.277;2.752960873;0.722891566;7.201049574;-1.721666667;;0.099552563;42.5
0.963665439;0.965202111;0.964647216;0.961979199;0.957155045;0.953517667;0.948585831;0.942888118;0.937830254;0.929709425;0.922296113;0.914125359;0.904856203;0.894505789;0.885522858;0.875429319;0.866620656;0.856661439;0.845538435;0.83559568;0.826787426;0.81615419;0.806384776;0.797357012;0.787992965;0.779584457;0.772103528;0.763726465;0.757425046;0.750671744;0.744090539;0.73869026;0.730795456;0.727626688;0.721956964;0.717345285;0.714166052;0.711133715;0.709474018;0.708745967;0.70558978;0.703366592;0.702061606;0.701670753;0.702185763;0.703615155;0.705964939;0.7058811;0.706717509;0.711186419;0.714648939;0.716561835;0.719626463;0.725404399;0.728679421;0.734256858;0.740044113;0.745081542;0.752958634;0.759916133;0.768778642;0.776672476;0.782861444;0.792374604;0.800511454;0.809669186;0.817518966;0.828823802;0.838895138;0.847755364;0.857821731;0.86672713;0.876913041;0.888441254;0.896401906;0.905739956;0.915698198;0.923650169;0.929582642;0.936965521;0.943071917;0.949151625;0.952982269;0.956369986;0.957497709;0.961505386;0.96021981;0.960104119;0.957893936;0.956920472;0.953824623;0.948566075;0.944481936;0.938147497;0.932379441;0.924836374;0.918746807;0.908895058;0.900504635;0.890997397;0.88287114;0.873610879;0.863229298;0.853412257;0.843872758;0.83244335;0.824558008;0.815423703;0.805019811;0.796821683;0.78859662;0.779990997;0.772313898;0.764243871;0.757544048;0.748205509;0.744045692;0.737242211;0.731624215;0.727124344;0.720116322;0.717748508;0.712869952;0.709009566;0.706134062;0.704211943;0.69984732;0.699792117;0.697291972;0.695709913;0.698078491;0.695252266;0.696374134;0.698407076;0.697996611;0.701874322;0.703309125;0.70568229;0.709022317;0.7100989;0.715182463;0.72000399;0.724831777;0.730454732;0.73442274;0.740058527;0.747336651;0.754507375;0.76170642;0.769589996;0.776465824;0.784309658;0.793144493;0.803003283;0.811566653;0.82122481;0.832023844;0.841620787;0.850030391;0.85968008;0.870629938;0.880470327;0.889189224;0.899310065;0.908329168;0.916207506;0.923874547;0.932030377;0.938040631;0.944733879;0.950921292;0.955250386;0.958943317;0.960566141;0.96333918;7.058990479;8;0.277;2.740063108;0.728373702;7.285544593;-1.75;;0.100021167;42.5
0.966906386;0.96497037;0.964277323;0.961470042;0.959513127;0.955886176;0.950144328;0.944586517;0.937092483;0.928455132;0.921293106;0.912993758;0.903595459;0.893119058;0.884013541;0.873796177;0.862468952;0.852403898;0.843550368;0.833491032;0.822205488;0.812021254;0.802892267;0.794785474;0.785301226;0.776198364;0.768279848;0.760064133;0.752539833;0.744699376;0.738111495;0.732699246;0.728397225;0.721588717;0.719400755;0.714710844;0.711035954;0.708339494;0.703206957;0.702417552;0.699185021;0.700224898;0.698825723;0.69833588;0.69874927;0.700070095;0.698954478;0.702105336;0.702817742;0.704452812;0.707036493;0.710589876;0.715149258;0.720758836;0.725371336;0.730307346;0.73697411;0.743447263;0.747522001;0.756242787;0.762566295;0.770230623;0.779348845;0.790052637;0.797937353;0.807289094;0.81738282;0.826198878;0.8361378;0.847246185;0.857177314;0.865948713;0.875989404;0.887370414;0.897670141;0.906880117;0.914978465;0.924530114;0.931986545;0.939175043;0.943988295;0.949930372;0.954545413;0.9584972;0.961211477;0.964408951;0.963642903;0.963389515;0.961229687;0.9599421;0.956721621;0.952981265;0.947144246;0.941026986;0.935377484;0.927686152;0.920511823;0.913057845;0.901925471;0.892596024;0.883978461;0.874570476;0.864043969;0.854811808;0.844419264;0.835238108;0.824850134;0.815596129;0.805224781;0.795607882;0.787162115;0.779706403;0.770839694;0.76289614;0.755541906;0.749692507;0.741886714;0.735045517;0.729312993;0.724741338;0.72123231;0.715210097;0.71025378;0.706317021;0.703360005;0.70135791;0.700283753;0.696766956;0.697524085;0.695840003;0.695061382;0.695183008;0.696206176;0.694788627;0.697626396;0.698018396;0.699324871;0.702208012;0.706516293;0.708938252;0.714148157;0.716838233;0.723409763;0.728955584;0.732841319;0.738340465;0.746725317;0.752453109;0.759468184;0.767876987;0.776705763;0.784436408;0.793158564;0.802904735;0.811347954;0.820886203;0.831559719;0.841030787;0.851715239;0.861248238;0.869625238;0.881727627;0.89039117;0.900383039;0.909273208;0.917022771;0.926263628;0.93298129;0.93863794;0.946836999;0.95103189;0.956724043;0.959214591;0.963990562;0.965900373;8.058974504;8;0.277;2.740418049;0.722413793;7.165607871;-1.746666667;;0.100008212;42.5
0.96196341;0.963444885;0.961619765;0.960111027;0.956348041;0.952890752;0.948041821;0.941903351;0.93708057;0.928659988;0.921582239;0.91337119;0.904055923;0.893665696;0.884641953;0.874505076;0.865655861;0.855653004;0.844491361;0.834508038;0.825657147;0.815543629;0.806488579;0.798459589;0.788275037;0.778891553;0.770985736;0.76444344;0.758361861;0.751269643;0.744633298;0.738958349;0.731583201;0.728021641;0.722306489;0.717651857;0.714013978;0.711357183;0.709659544;0.706575644;0.705698115;0.703438643;0.702097027;0.701668646;0.70214824;0.703538836;0.705852267;0.705730433;0.707588003;0.710448509;0.714380271;0.715784232;0.719274369;0.725006928;0.728234245;0.733392133;0.741631883;0.74572905;0.752301007;0.758944331;0.767992218;0.775637931;0.781790881;0.79126777;0.799365319;0.808481439;0.818649511;0.82754527;0.835192977;0.846374359;0.856386204;0.865231525;0.8753558;0.884353822;0.894708343;0.903970329;0.912117748;0.919685181;0.927562801;0.933308632;0.94091504;0.944329525;0.949026539;0.953132441;0.955954939;0.95665253;0.958582445;0.955084271;0.956156944;0.955127472;0.948960978;0.946658267;0.940372999;0.935382761;0.929081424;0.921549032;0.915467405;0.905613739;0.897219699;0.887704209;0.879567483;0.870292563;0.860134934;0.850773215;0.840548517;0.831408835;0.82329328;0.814303029;0.803858459;0.794467015;0.786091011;0.778479009;0.769899691;0.762017925;0.755033978;0.748870884;0.74125773;0.73779651;0.732127015;0.725621669;0.720522638;0.717579571;0.713187695;0.709286365;0.706368656;0.704408758;0.700006064;0.699912198;0.697376128;0.698255407;0.696004495;0.695225276;0.696312155;0.698306457;0.697860738;0.70169816;0.703095983;0.705428916;0.708728195;0.713021986;0.714802631;0.721166948;0.725015236;0.729942235;0.736009212;0.740741802;0.747919293;0.753755478;0.760887437;0.769422737;0.777735615;0.78553456;0.794327218;0.801786665;0.812665512;0.822281675;0.83066333;0.840205798;0.850968365;0.860578392;0.869032188;0.878803916;0.887452255;0.897493989;0.906431416;0.915440823;0.923509749;0.930655223;0.938567554;0.943286583;0.948410558;0.953720565;0.957369681;0.958901294;0.961668111;9.058969736;8;0.277;2.725682729;0.729636049;7.235254801;-1.76;;0.100548867;42.5
