data_rho1;data_rho2;data_rho3;data_rho4;data_rho5;data_rho6;data_rho7;data_rho8;data_rho9;data_rho10;data_rho11;data_rho12;data_rho13;data_rho14;data_rho15;data_rho16;data_rho17;data_rho18;data_rho19;data_rho20;data_rho21;data_rho22;data_rho23;data_rho24;data_rho25;data_rho26;data_rho27;data_rho28;data_rho29;data_rho30;data_rho31;data_rho32;data_rho33;data_rho34;data_rho35;data_rho36;data_rho37;data_rho38;data_rho39;data_rho40;data_rho41;data_rho42;data_rho43;data_rho44;data_rho45;data_rho46;data_rho47;data_rho48;data_rho49;data_rho50;data_rho51;data_rho52;data_rho53;data_rho54;data_rho55;data_rho56;data_rho57;data_rho58;data_rho59;data_rho60;data_rho61;data_rho62;data_rho63;data_rho64;data_rho65;data_rho66;data_rho67;data_rho68;data_rho69;data_rho70;data_rho71;data_rho72;data_rho73;data_rho74;data_rho75;data_rho76;data_rho77;data_rho78;data_rho79;data_rho80;data_rho81;data_rho82;data_rho83;data_rho84;data_rho85;data_rho86;data_rho87;data_rho88;data_rho89;data_rho90;data_rho91;data_rho92;data_rho93;data_rho94;data_rho95;data_rho96;data_rho97;data_rho98;data_rho99;data_rho100;data_rho101;data_rho102;data_rho103;data_rho104;data_rho105;data_rho106;data_rho107;data_rho108;data_rho109;data_rho110;data_rho111;data_rho112;data_rho113;data_rho114;data_rho115;data_rho116;data_rho117;data_rho118;data_rho119;data_rho120;data_rho121;data_rho122;data_rho123;data_rho124;data_rho125;data_rho126;data_rho127;data_rho128;data_rho129;data_rho130;data_rho131;data_rho132;data_rho133;data_rho134;data_rho135;data_rho136;data_rho137;data_rho138;data_rho139;data_rho140;data_rho141;data_rho142;data_rho143;data_rho144;data_rho145;data_rho146;data_rho147;data_rho148;data_rho149;data_rho150;data_rho151;data_rho152;data_rho153;data_rho154;data_rho155;data_rho156;data_rho157;data_rho158;data_rho159;data_rho160;data_rho161;data_rho162;data_rho163;data_rho164;data_rho165;data_rho166;data_rho167;data_rho168;data_rho169;data_rho170;data_rho171;data_rho172;data_rho173;data_rho174;data_rho175;time;volt;current;Volume;Aspect_Ratio;Integr_Surface_Area;centred_z;ST
0.947636169;0.94622684;0.945232804;0.945460196;0.943543969;0.939437408;0.936496662;0.934728456;0.93002453;0.923852846;0.918742421;0.91307077;0.905906595;0.900079944;0.893091577;0.884964219;0.878110404;0.872482126;0.86329103;0.855292094;0.848453252;0.842368734;0.835749404;0.827482545;0.820254046;0.814042081;0.807110749;0.802204748;0.796909438;0.791737851;0.785522163;0.781279929;0.775991172;0.771853152;0.768815756;0.764824753;0.762431824;0.759088489;0.756774488;0.755465601;0.755145298;0.752457487;0.750756428;0.750031315;0.750277533;0.751496637;0.75369636;0.753527709;0.754338123;0.758618839;0.758961589;0.762822548;0.765532239;0.770273053;0.773864013;0.777694523;0.782649394;0.787829568;0.792357466;0.798128808;0.804160776;0.809609575;0.816998282;0.822427854;0.831102599;0.836789785;0.844021771;0.851746776;0.858540917;0.86538379;0.870396691;0.879019066;0.886491545;0.895261996;0.902907919;0.906959023;0.914515751;0.919461149;0.924246846;0.929008712;0.933683505;0.938210784;0.939608348;0.944316998;0.943491797;0.943889841;0.945505005;0.945005547;0.945731189;0.944342665;0.940818363;0.938488786;0.936690774;0.930600343;0.927576672;0.922385839;0.916960162;0.910872344;0.906211022;0.899644731;0.893498368;0.886183967;0.880158661;0.872958619;0.864597515;0.857450371;0.85147764;0.844288854;0.838076201;0.830888451;0.824632048;0.817057123;0.811005079;0.805645065;0.79796751;0.794356588;0.789289672;0.785025911;0.778215272;0.776271734;0.771789267;0.768418828;0.762839993;0.761386275;0.757728098;0.756293288;0.753490331;0.75286482;0.753215514;0.751197096;0.750157638;0.750090398;0.750996253;0.752879931;0.752394294;0.754756589;0.75594729;0.758037449;0.76034852;0.764800339;0.76706975;0.770278423;0.774591309;0.780059943;0.782984831;0.787893724;0.792337502;0.79890984;0.805566374;0.81098254;0.815030248;0.822464534;0.828581546;0.835763008;0.844038301;0.848708537;0.856889352;0.863874297;0.872067393;0.876668715;0.882500137;0.889602652;0.89711221;0.904487013;0.90921869;0.914983787;0.921776841;0.9261542;0.931307466;0.934832688;0.939187701;0.942131091;0.944705827;0.945927029;0.948367054;0.062046051;8;0.268;2.835403391;0.794376098;9.110349748;-1.581666667;72.8
0.948440955;0.949566503;0.948584101;0.945468462;0.943554711;0.942073909;0.937110886;0.934747417;0.930677329;0.925130166;0.918768565;0.914309151;0.90713137;0.901292081;0.894297434;0.886161479;0.879299823;0.871277869;0.864468706;0.85781166;0.849630008;0.843909461;0.834573927;0.828664097;0.82144183;0.815237008;0.809119139;0.801332199;0.797753599;0.790583099;0.78587531;0.781407157;0.777781786;0.773323579;0.770559497;0.765077257;0.762582071;0.760786293;0.758461598;0.754074816;0.753461425;0.754125254;0.7524224;0.751697577;0.751946185;0.753169784;0.752026885;0.75521655;0.756039267;0.757857492;0.760692198;0.764571306;0.766026002;0.769121901;0.772321174;0.776775868;0.782643124;0.787238292;0.793972327;0.79677393;0.80324535;0.810081063;0.817486066;0.822538143;0.82888651;0.836749383;0.844284845;0.850567345;0.857991591;0.864203217;0.871603673;0.877825816;0.885292076;0.894052254;0.900314335;0.905656097;0.91347321;0.917545247;0.922960514;0.928989957;0.932642021;0.936048897;0.936752581;0.940940066;0.943381943;0.943884415;0.94216784;0.94167357;0.942398504;0.941004675;0.937471416;0.93512874;0.932357255;0.927198453;0.924967336;0.920421245;0.913461889;0.907526996;0.902619777;0.895857382;0.889760394;0.882488983;0.876501372;0.869333148;0.860999879;0.853875613;0.847920775;0.840742546;0.834680714;0.82735521;0.821095884;0.815524513;0.808837366;0.803537021;0.796780023;0.790744339;0.785640262;0.781464331;0.776335479;0.773383428;0.76942679;0.766358376;0.760852571;0.759641891;0.756001386;0.753393587;0.751792091;0.751177401;0.748188732;0.749524613;0.748489398;0.748424292;0.749330016;0.747864771;0.750721205;0.751203201;0.752669339;0.755138231;0.758635372;0.760785451;0.765321012;0.768507108;0.772297016;0.774538794;0.781131398;0.785167428;0.79041131;0.796940975;0.801977077;0.807414063;0.813843825;0.820142676;0.827402774;0.832226572;0.840499333;0.84753001;0.855706798;0.862688101;0.870877986;0.875473139;0.883741689;0.890631697;0.896804377;0.904083788;0.910187213;0.915060501;0.921756675;0.926309407;0.931621425;0.935003055;0.939177322;0.94134093;0.944700215;0.945922823;0.948365995;1.059036255;8;0.268;2.825305803;0.792618629;7.544739232;-1.606666667;72.8
0.946861441;0.948163886;0.947356146;0.944412596;0.944965626;0.942134887;0.93939201;0.93436915;0.930465887;0.925436945;0.918881771;0.914666682;0.907968339;0.901914904;0.895472213;0.887503285;0.880804384;0.872945686;0.866296031;0.858459272;0.850500529;0.843856033;0.836239589;0.82892631;0.821855668;0.815802694;0.808358392;0.804285496;0.79824007;0.793208219;0.785637089;0.783016231;0.777861937;0.77385335;0.769981618;0.765603958;0.764808581;0.761595155;0.759410499;0.754861134;0.754686705;0.752143613;0.753922912;0.753339266;0.753730975;0.753598888;0.754105489;0.75408305;0.758426774;0.760216387;0.75997012;0.763993618;0.767439597;0.771783513;0.775550793;0.779916714;0.782818257;0.788475603;0.794843604;0.798272728;0.804580867;0.811846409;0.817712734;0.824589983;0.830650304;0.836746344;0.844441509;0.85310125;0.858475817;0.8663758;0.872435499;0.878835486;0.886485646;0.895439737;0.903269917;0.907439843;0.914326304;0.919436067;0.925401087;0.9293166;0.934159734;0.936708693;0.940423496;0.941939242;0.944653893;0.945227996;0.943687244;0.943369939;0.944274114;0.943061604;0.939711091;0.937554527;0.933201633;0.930004148;0.926077117;0.921104059;0.914868293;0.910010567;0.903926582;0.896665088;0.890735665;0.88363068;0.877804938;0.870797885;0.862626355;0.855660624;0.849862308;0.841466116;0.834576812;0.827405727;0.822063506;0.814103518;0.809832672;0.802538705;0.79871396;0.792156363;0.786888395;0.782726999;0.777142336;0.774466196;0.770167282;0.766971364;0.761342867;0.760271534;0.756770641;0.754302134;0.752838029;0.752359924;0.749510144;0.75098324;0.750087894;0.750164254;0.751212765;0.749892856;0.752893595;0.753535053;0.75516068;0.757795493;0.758004411;0.76270864;0.764979186;0.768312705;0.772752643;0.775605807;0.781404506;0.785607087;0.791028331;0.796712768;0.801729381;0.806992471;0.81364046;0.821078097;0.827349953;0.834690837;0.840764803;0.847958078;0.856305531;0.863456506;0.869413908;0.876595488;0.882602173;0.889884993;0.896727528;0.903454578;0.909732223;0.915084883;0.922040345;0.926408789;0.932231375;0.935596236;0.940122281;0.942456547;0.945987653;0.947385082;0.9466716;2.059032917;8;0.268;2.833993441;0.792982456;7.291164372;-1.598333333;72.8
0.946780216;0.946009656;0.946944473;0.943835827;0.941927307;0.941223624;0.934888634;0.933121353;0.928463957;0.922563096;0.917593601;0.911634689;0.904506231;0.89871217;0.891755306;0.883656175;0.876827819;0.869239842;0.862052404;0.854809715;0.847252926;0.839191335;0.83222391;0.826322836;0.819105632;0.811828239;0.806838466;0.79912126;0.79297908;0.788223756;0.783836289;0.779015452;0.774507788;0.770885155;0.765537345;0.763239731;0.758886246;0.75723967;0.755317104;0.752039571;0.751747879;0.752068386;0.750738877;0.75002714;0.750286685;0.751519273;0.750382819;0.753577615;0.75440149;0.756218619;0.759049831;0.762588594;0.764372746;0.766856949;0.772193385;0.77508985;0.780938534;0.784681885;0.791455774;0.796704414;0.801445601;0.807650629;0.815613261;0.822510758;0.827923508;0.834391411;0.841937908;0.848351135;0.855657882;0.864253782;0.869714995;0.877904502;0.883894496;0.891702022;0.899323389;0.905791675;0.911074446;0.917520447;0.923145655;0.927143413;0.931853187;0.93426155;0.937836073;0.939204535;0.941769238;0.942188396;0.943822422;0.943340561;0.941523546;0.942705158;0.939191164;0.936869818;0.932352074;0.92899072;0.925954056;0.918792456;0.91440719;0.90938672;0.903146405;0.895726492;0.889643237;0.884837727;0.876411541;0.869259886;0.86333175;0.856207461;0.847888337;0.841023118;0.834672983;0.827357886;0.821163233;0.813540814;0.809359585;0.801420771;0.797292346;0.790814495;0.785722977;0.781056739;0.778035402;0.772466042;0.768054482;0.764748263;0.762504055;0.757825256;0.757337058;0.755030858;0.753430242;0.749457969;0.749835121;0.747839165;0.746817636;0.746763981;0.74767784;0.749565041;0.749079176;0.752938846;0.754427216;0.756428518;0.756989812;0.760624825;0.763663578;0.766839363;0.771113891;0.776538525;0.779413634;0.784127788;0.789126429;0.795147393;0.799537769;0.807373001;0.813814521;0.818906539;0.825040772;0.832235218;0.840519651;0.846952762;0.853374624;0.861258926;0.86854383;0.87555853;0.881393563;0.888497286;0.896937016;0.90169115;0.907769953;0.915243298;0.919901927;0.9243127;0.929825938;0.93526222;0.937433947;0.940981552;0.9429983;0.946177684;0.946696385;3.059026003;8;0.268;2.817429859;0.792253521;7.309260786;-1.615;72.8
0.948447669;0.946251593;0.94527473;0.945519453;0.943620791;0.940377058;0.936609642;0.934672017;0.929776334;0.923627819;0.91886196;0.912887519;0.905743661;0.899936638;0.892965926;0.884857061;0.878021301;0.870022241;0.863236984;0.855255195;0.84843092;0.840369176;0.833403909;0.825993006;0.820293397;0.811802113;0.806815136;0.799882062;0.794201708;0.78945823;0.783820828;0.780277551;0.775785839;0.771701561;0.766865293;0.763231389;0.758877048;0.758647097;0.756700134;0.752035312;0.751745077;0.752426701;0.750739363;0.750027905;0.750287766;0.751520552;0.75038476;0.75358009;0.754405621;0.756224659;0.759058217;0.761227908;0.764383295;0.766868311;0.770900168;0.775101507;0.780954443;0.785904917;0.792594523;0.797902721;0.801686211;0.809917633;0.815640249;0.822790052;0.829102697;0.835569665;0.843117545;0.849414036;0.856846677;0.865447737;0.872872222;0.879117158;0.886607911;0.895397108;0.900575843;0.907061405;0.914323049;0.919024358;0.924483454;0.928869236;0.933563063;0.935959073;0.939522625;0.942634458;0.943441228;0.943856517;0.9454888;0.945007442;0.944809685;0.942974979;0.940872403;0.938560319;0.934054417;0.930705999;0.925073399;0.920543625;0.915704211;0.908080426;0.902788266;0.896968589;0.890872002;0.883604309;0.875191118;0.86804991;0.862129862;0.855014548;0.846699692;0.839538269;0.833491749;0.826177319;0.819932067;0.813034135;0.806433906;0.800234932;0.79324421;0.78961434;0.784511575;0.777870164;0.774315942;0.768809154;0.76572647;0.761197487;0.758997334;0.756384592;0.754206911;0.751625205;0.750047276;0.748940661;0.746483664;0.744497271;0.746815432;0.746763252;0.744340529;0.746220987;0.749083016;0.749568487;0.75103606;0.753504384;0.755351611;0.758060289;0.760138662;0.763267682;0.76748938;0.772854881;0.776343022;0.782897777;0.787909716;0.793850301;0.798932759;0.80395912;0.81034891;0.817724508;0.823860309;0.831056965;0.837282741;0.846380028;0.852192098;0.85916829;0.86734738;0.874354686;0.880178091;0.88727235;0.895696367;0.90297596;0.909038807;0.91394856;0.920200937;0.925186158;0.928823298;0.934741572;0.939114406;0.941292952;0.944667346;0.945905698;0.947684235;4.059008598;8;0.268;2.819544573;0.79086116;7.504269403;-1.618333333;72.8
0.943383684;0.944023955;0.942439509;0.939894022;0.937793419;0.936526422;0.933776567;0.928378647;0.925633442;0.9209153;0.91449889;0.910711336;0.903641996;0.897684965;0.890566006;0.882304605;0.875316749;0.869554232;0.861369281;0.854464555;0.847482856;0.841613127;0.834499132;0.826091745;0.821089651;0.812373571;0.807021379;0.801841445;0.795266763;0.789984756;0.785917609;0.780094927;0.777544392;0.773248621;0.768878803;0.764441647;0.76338325;0.759902118;0.757454856;0.756015512;0.755565842;0.75274841;0.75425759;0.753402376;0.753524169;0.754623359;0.753357824;0.756424448;0.757124032;0.75881832;0.761527239;0.764765371;0.766610845;0.768976699;0.773866719;0.777810972;0.782687852;0.788356924;0.792518937;0.797618771;0.80365946;0.810651382;0.816239821;0.822835502;0.828095512;0.836767981;0.84180378;0.850301893;0.855205223;0.863635808;0.870880661;0.876943778;0.884243601;0.890377672;0.897806447;0.904076902;0.90915732;0.915580196;0.920794988;0.924729625;0.929629582;0.931890689;0.935313555;0.936525606;0.938931463;0.939187567;0.940655325;0.940002184;0.940566127;0.936252676;0.935311963;0.932802163;0.929656093;0.924531314;0.922122086;0.91739668;0.911459997;0.906313831;0.899938005;0.894895339;0.888650442;0.881235068;0.875101818;0.867791155;0.861706026;0.854429601;0.84832604;0.840996791;0.83479538;0.827327421;0.820926975;0.815575533;0.808879902;0.803182043;0.798468442;0.793162279;0.787561222;0.783190234;0.779448885;0.774222119;0.769634566;0.766160526;0.763755475;0.760949261;0.758583795;0.75582418;0.754077119;0.753322431;0.750197952;0.751402225;0.75023792;0.750046238;0.750825988;0.75048295;0.751969427;0.752925093;0.754039665;0.756053882;0.759391407;0.762672805;0.76582536;0.768882216;0.773035273;0.775817501;0.781090674;0.784981744;0.790071277;0.79586462;0.800197675;0.807889972;0.811815986;0.819125012;0.825109784;0.832152246;0.837918704;0.844798773;0.852815856;0.859631801;0.867647002;0.872063534;0.880140835;0.887056971;0.89279742;0.899856104;0.905725372;0.911161951;0.916361234;0.922128455;0.92722083;0.930574837;0.934804083;0.936831621;0.940049689;0.941125042;0.943413204;5.059010506;8;0.268;2.801241901;0.798586572;7.184290114;-1.648333333;72.8
0.945061737;0.945771967;0.944941376;0.941688138;0.939631248;0.938714184;0.933698118;0.930362869;0.926128809;0.921531571;0.916656899;0.910568105;0.903310597;0.897392314;0.890307571;0.884509544;0.875133079;0.869408776;0.862491292;0.85438603;0.847433322;0.839246728;0.832156056;0.826136799;0.818797356;0.812476507;0.807144266;0.800419786;0.794629999;0.789777563;0.783614006;0.780380128;0.775379822;0.771146359;0.76801443;0.762452034;0.761443034;0.758006939;0.755603113;0.75420405;0.753791803;0.751009816;0.749214069;0.751726674;0.75187561;0.749660174;0.751756246;0.751482542;0.755565511;0.757278594;0.760005103;0.760309047;0.765114847;0.767491221;0.770960355;0.775499202;0.781230398;0.785646308;0.789863436;0.797430583;0.801224376;0.808142089;0.815096372;0.822081955;0.828060641;0.834406049;0.84182867;0.847996301;0.855295408;0.863757289;0.868644553;0.877135109;0.882042752;0.893096311;0.898109216;0.904420838;0.909542141;0.916011667;0.921269423;0.926518644;0.930611865;0.93338513;0.93683;0.938067471;0.94050077;0.940787019;0.942286906;0.941668142;0.942268546;0.940750228;0.937093006;0.934625672;0.931856116;0.92657051;0.924087823;0.919415274;0.91362278;0.908475865;0.90210286;0.897065621;0.890526512;0.883424488;0.876042488;0.870009195;0.861548653;0.854303822;0.848234059;0.840941066;0.834767336;0.827329233;0.821972922;0.815641808;0.808976388;0.803307788;0.797489731;0.792500412;0.787311903;0.780864499;0.777728049;0.772288372;0.770781291;0.765038397;0.761748892;0.760427263;0.756675715;0.753960643;0.752254851;0.751538083;0.751796762;0.749684068;0.748550639;0.748387547;0.749193861;0.750974828;0.75038445;0.754139045;0.755522752;0.75791091;0.758489103;0.762321357;0.764334702;0.767402087;0.771565023;0.776874021;0.781053824;0.785006582;0.792308235;0.795699353;0.802450644;0.807713721;0.814104783;0.821439894;0.826741818;0.833028855;0.840325887;0.847243609;0.852929324;0.862166069;0.867825421;0.874698268;0.880391899;0.88734906;0.895627357;0.902257315;0.906912887;0.913433829;0.919307492;0.923596308;0.928986622;0.932084559;0.936338149;0.938393163;0.941640193;0.942745649;0.945067242;6.059004068;8;0.269;2.810119518;0.795414462;7.189874263;-1.636666667;72.8
0.945055087;0.946029453;0.944889293;0.941855427;0.942770312;0.938654738;0.935567152;0.933156916;0.928118707;0.922798113;0.917210957;0.912671655;0.906026407;0.900052928;0.892920308;0.884649728;0.877655555;0.871890068;0.864941972;0.856802168;0.849826031;0.843693884;0.836860744;0.828468828;0.821118394;0.814786915;0.809457943;0.803647327;0.797041752;0.792075022;0.787646014;0.782699118;0.779236793;0.774421676;0.769014995;0.766100221;0.763395417;0.761548508;0.759097641;0.757657047;0.754415677;0.75439727;0.752575788;0.751733325;0.751864524;0.752970193;0.755057301;0.754778552;0.75886104;0.760577996;0.763312414;0.763629404;0.768451242;0.770850398;0.77432485;0.778918628;0.78468534;0.787915124;0.792438046;0.797944664;0.804897252;0.810607874;0.818577623;0.822812178;0.830101895;0.836766221;0.844170447;0.850321375;0.857605469;0.863676605;0.870936805;0.877429981;0.8843226;0.892923572;0.900396583;0.905068563;0.911840843;0.917370984;0.920964853;0.926701291;0.930248172;0.933521291;0.936943246;0.938158554;0.94008828;0.94083213;0.942309086;0.941668142;0.938910942;0.937364023;0.937026125;0.93453609;0.929848553;0.926312711;0.923064628;0.917811707;0.912127218;0.906158285;0.899801185;0.894775694;0.888543759;0.881138978;0.875018866;0.867719105;0.861650539;0.854383114;0.848290769;0.840978769;0.834574389;0.827327087;0.820941283;0.815599359;0.808914861;0.803226941;0.797852205;0.79238151;0.787174138;0.781143839;0.777982464;0.77226789;0.770565239;0.764799453;0.761911895;0.760570072;0.75679895;0.754064784;0.752340303;0.751605179;0.751845762;0.74971508;0.748562496;0.748380897;0.749169449;0.750932561;0.750324166;0.754060517;0.755425673;0.757794904;0.761192846;0.762165604;0.764475036;0.767334577;0.7713428;0.776628616;0.781218225;0.785151342;0.792207757;0.795806499;0.802335704;0.807850477;0.813621492;0.819111151;0.82621236;0.832453926;0.84029449;0.847193252;0.85285824;0.862072366;0.867708685;0.87456136;0.882674673;0.887163377;0.895414292;0.902515548;0.907148475;0.913139516;0.919201891;0.923994407;0.929129981;0.932260079;0.9364369;0.940467974;0.941693585;0.94277672;0.945074518;7.058939695;8;0.269;2.815395416;0.798941799;9.039706996;-1.65;72.8
0.938394775;0.939386757;0.938255569;0.938336212;0.936264031;0.931991789;0.932282659;0.926921152;0.922651585;0.919494023;0.912779738;0.909282982;0.902044335;0.896143035;0.889077637;0.883289153;0.876330362;0.868206588;0.861300238;0.853737197;0.848610399;0.840423418;0.83333623;0.827320161;0.820936949;0.813669572;0.808355162;0.801626031;0.795847914;0.791008411;0.785478645;0.78260033;0.777182027;0.772923237;0.769769335;0.767677917;0.763162222;0.759711582;0.760358329;0.755886428;0.755466958;0.756025113;0.754218603;0.753393099;0.753543323;0.75467015;0.756327968;0.756530974;0.757260989;0.758986452;0.761727587;0.76551152;0.766874105;0.769273945;0.774793618;0.778753426;0.78310005;0.786867074;0.793512039;0.798632936;0.803265433;0.809329662;0.817247493;0.821584945;0.828375959;0.835584377;0.840821717;0.849178077;0.854112458;0.862572465;0.867455211;0.875936546;0.880834825;0.889426272;0.89449111;0.901103759;0.905734466;0.912146519;0.917338495;0.921247649;0.924208791;0.927668838;0.930089075;0.933874356;0.933791918;0.936557476;0.935614241;0.935000395;0.935597656;0.934068201;0.930390154;0.92831875;0.924663391;0.922350788;0.917213584;0.912473772;0.907023414;0.901988497;0.897631679;0.89077296;0.884615699;0.87973366;0.871219426;0.866387071;0.857953943;0.850730103;0.844715914;0.839755309;0.831519551;0.826153297;0.81967754;0.814461768;0.807793177;0.802120423;0.795448888;0.791298831;0.787068635;0.781830335;0.775996696;0.773850661;0.76929925;0.765861072;0.763490081;0.760055312;0.758384387;0.75565677;0.753940655;0.753215782;0.75011926;0.751352081;0.750217072;0.750054743;0.750863931;0.752649882;0.752066692;0.752456572;0.754916945;0.756207281;0.759610701;0.763570989;0.766111281;0.769203389;0.773393756;0.776772104;0.781527643;0.785460113;0.790594268;0.796893442;0.801252303;0.806591337;0.812920996;0.819700156;0.824456306;0.830986704;0.838464008;0.843695443;0.851746214;0.8585889;0.864226904;0.871072746;0.879176039;0.884796453;0.891886876;0.89861131;0.903321991;0.90905455;0.915544934;0.920133121;0.923677056;0.928437853;0.931757255;0.935032197;0.936578523;0.93940809;0.938400299;8.058987379;8;0.269;2.783334256;0.802841918;7.428752581;-1.655;72.8
0.943441205;0.941225447;0.940222781;0.940436268;0.938498378;0.934944771;0.93292169;0.929450214;0.924642266;0.918915992;0.913876338;0.908956188;0.90336774;0.897575924;0.890615971;0.882515609;0.87568549;0.870077533;0.863276816;0.855286019;0.847905611;0.840372273;0.833451761;0.827488325;0.820583095;0.814052178;0.808845078;0.801303928;0.79655253;0.789770779;0.785851777;0.782672587;0.777762679;0.77360389;0.769341953;0.765062916;0.76396463;0.760776008;0.75845416;0.757139095;0.753457054;0.754121814;0.752419368;0.751695578;0.751946509;0.753172553;0.755381606;0.755223962;0.75604749;0.757866318;0.760701246;0.764582902;0.76603948;0.770403125;0.775703754;0.777657512;0.782662591;0.788455348;0.79434921;0.797973103;0.804141792;0.811263839;0.816985129;0.823715524;0.829112185;0.8355697;0.843106678;0.850553268;0.856810105;0.863163022;0.87041677;0.879043636;0.884086436;0.892837328;0.898424679;0.904415849;0.909665851;0.916272335;0.921668156;0.925790509;0.928555171;0.934332967;0.935352811;0.939249566;0.938875343;0.942210463;0.940498666;0.94000708;0.940732607;0.939337261;0.935800274;0.933451606;0.930891724;0.925765367;0.922045324;0.916969121;0.911718984;0.905762218;0.900832356;0.894585455;0.888505488;0.881249738;0.875274409;0.868117124;0.8597955;0.852680667;0.846733129;0.83955737;0.833501784;0.82617738;0.819916801;0.814700785;0.808138473;0.802572035;0.795585792;0.791962159;0.786869657;0.780244059;0.776314687;0.772136792;0.769955578;0.765078075;0.760839024;0.759630293;0.755989935;0.753383574;0.751784213;0.751171438;0.75153258;0.749522918;0.748489848;0.748426791;0.749333352;0.749014115;0.750726333;0.751209517;0.752676698;0.755146319;0.758646109;0.759713812;0.76417043;0.767150209;0.771016347;0.774561444;0.778906597;0.785190946;0.790399583;0.793909935;0.800765858;0.805832264;0.812264337;0.817742357;0.823865481;0.831047898;0.836961611;0.843980482;0.852150142;0.859111771;0.864873473;0.87184707;0.877635512;0.884981565;0.893067035;0.897756721;0.903815512;0.911155326;0.916514348;0.920949478;0.925813155;0.929720599;0.934110377;0.936300123;0.939679327;0.940915752;0.940032097;9.058974266;8;0.269;2.800472327;0.796819788;7.513256493;-1.666666667;72.8
